Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-28,Hold,0,67.5,67.44,-0.09,1000000
2023-01-09,Hold,0,73.0,73.2,0.27,1000000
2023-01-18,Hold,0,68.5,70.89,3.49,1000000
2023-01-27,Hold,0,68.75,69.71,1.4,1000000
2023-02-07,Hold,0,66.75,68.1,2.02,1000000
2023-02-16,Hold,0,66.5,64.65,-2.78,1000000
2023-02-27,Hold,0,62.25,61.06,-1.91,1000000
2023-03-09,Hold,0,63.0,63.4,0.63,1000000
2023-03-20,Hold,0,61.75,60.4,-2.19,1000000
2023-03-29,Hold,0,63.0,63.08,0.13,1000000
2023-04-10,Hold,0,61.75,60.02,-2.8,1000000
2023-04-21,Hold,0,63.25,64.68,2.26,1000000
2023-05-03,Hold,0,64.25,63.36,-1.39,1000000
2023-05-16,Hold,0,64.75,66.22,2.27,1000000
2023-05-25,Hold,0,62.75,64.57,2.9,1000000
2023-06-06,Hold,0,63.25,64.31,1.68,1000000
2023-06-15,Hold,0,64.25,63.39,-1.34,1000000
2023-06-26,Hold,0,61.75,62.11,0.58,1000000
2023-07-05,Hold,0,63.25,62.98,-0.43,1000000
2023-07-14,Hold,0,62.75,63.86,1.77,1000000
2023-07-25,Hold,0,61.75,58.85,-4.7,1000000
2023-08-07,Hold,0,60.0,60.8,1.33,1000000
2023-08-17,Hold,0,62.5,59.7,-4.48,1000000
2023-08-28,Hold,0,65.25,63.01,-3.43,1000000
2023-09-06,Hold,0,64.25,64.31,0.09,1000000
2023-09-15,Hold,0,63.75,64.02,0.42,1000000
2023-09-26,Hold,0,61.0,62.31,2.15,1000000
2023-10-05,Hold,0,61.25,61.38,0.21,1000000
2023-10-17,Hold,0,57.75,59.66,3.31,1000000
2023-10-27,Hold,0,55.0,56.1,2.0,1000000
2023-11-07,Hold,0,55.75,55.23,-0.93,1000000
2023-11-16,Hold,0,57.25,57.82,1.0,1000000
2023-11-27,Hold,0,54.75,55.42,1.22,1000000
2023-12-07,Hold,0,53.25,54.39,2.14,1000000
2023-12-19,Hold,0,54.25,53.17,-1.99,1000000
SUMMARY,Final Result,0,N/A,N/A,N/A,1000000.0 (0.0)
