Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2022-12-28,13,2023-01-09,166.45
1,2023-01-09,13,2023-01-18,167.96
2,2023-01-18,13,2023-01-27,163.57
3,2023-01-27,13,2023-02-07,182.81
4,2023-02-07,13,2023-02-16,159.79
5,2023-02-16,13,2023-02-27,164.0
6,2023-02-27,13,2023-03-09,156.49
7,2023-03-09,13,2023-03-20,151.13
8,2023-03-20,13,2023-03-29,142.07
9,2023-03-29,13,2023-04-10,150.42
10,2023-04-10,13,2023-04-21,165.24
11,2023-04-21,13,2023-05-03,151.92
12,2023-05-03,13,2023-05-16,136.94
13,2023-05-16,13,2023-05-25,145.79
14,2023-05-25,13,2023-06-06,151.35
15,2023-06-06,13,2023-06-15,148.59
16,2023-06-15,13,2023-06-26,150.13
17,2023-06-26,13,2023-07-05,152.3
18,2023-07-05,13,2023-07-14,153.31
19,2023-07-14,13,2023-07-25,151.84
20,2023-07-25,13,2023-08-07,155.34
21,2023-08-07,13,2023-08-17,162.93
22,2023-08-17,13,2023-08-28,157.51
23,2023-08-28,13,2023-09-06,163.84
24,2023-09-06,13,2023-09-15,170.7
25,2023-09-15,13,2023-09-26,166.47
26,2023-09-26,13,2023-10-05,163.43
27,2023-10-05,13,2023-10-17,152.85
28,2023-10-17,13,2023-10-27,169.76
29,2023-10-27,13,2023-11-07,173.67
30,2023-11-07,13,2023-11-16,168.65
31,2023-11-16,13,2023-11-27,162.99
32,2023-11-27,13,2023-12-07,158.39
33,2023-12-07,13,2023-12-19,150.89
34,2023-12-19,13,2023-12-28,151.22
