Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-29,Hold,0,16.7,17.04,2.04,1000000
2023-01-10,Hold,0,16.1,16.46,2.24,1000000
2023-01-19,Hold,0,16.5,17.11,3.7,1000000
2023-01-30,Hold,0,16.2,16.53,2.04,1000000
2023-02-08,Hold,0,16.3,16.56,2.22,1000000
2023-02-17,Hold,0,15.7,16.2,2.53,1000000
2023-02-28,Hold,0,16.0,16.12,1.38,1000000
2023-03-10,Hold,0,14.9,15.55,3.67,1000000
2023-03-21,Hold,0,14.5,14.23,-1.86,1000000
2023-03-30,Hold,0,14.6,14.21,-2.0,1000000
2023-04-11,Hold,0,13.2,13.81,4.62,1000000
2023-04-24,Hold,0,13.7,13.86,1.17,1000000
2023-05-08,Hold,0,13.8,13.71,0.81,1000000
2023-05-17,Hold,0,14.9,15.25,2.35,1000000
2023-05-26,Hold,0,16.0,15.66,-2.12,1000000
2023-06-07,Hold,0,13.5,13.95,2.57,1000000
2023-06-16,Hold,0,13.7,13.87,1.24,1000000
2023-06-27,Buy,76300,13.1,13.91,7.0,470.0
2023-07-06,Buy,76300,12.9,13.63,5.66,470.0
2023-07-17,Buy,76300,12.8,13.77,7.58,470.0
2023-07-26,Hold,76300,13.0,13.29,3.02,470.0
2023-08-08,Hold,76300,13.8,13.62,0.15,470.0
2023-08-18,Hold,76300,13.6,13.58,-0.15,470.0
2023-08-29,Hold,76300,14.3,13.83,-2.61,470.0
2023-09-07,Hold,76300,14.3,14.05,-1.75,470.0
2023-09-18,Hold,76300,14.5,14.23,-2.53,470.0
2023-09-27,Hold,76300,14.3,14.0,-2.1,470.0
2023-10-06,Hold,76300,14.1,13.98,-0.85,470.0
2023-10-18,Hold,76300,13.5,13.81,1.54,470.0
2023-10-30,Hold,76300,13.2,13.61,2.33,470.0
2023-11-08,Hold,76300,14.1,14.08,-0.14,470.0
2023-11-17,Hold,76300,13.8,13.74,-0.43,470.0
2023-11-28,Hold,76300,14.2,14.2,0.0,470.0
2023-12-08,Hold,76300,14.9,15.51,3.4,470.0
2023-12-20,Hold,76300,14.6,14.15,-3.08,470.0
SUMMARY,Final Result,76300,N/A,N/A,N/A,1144970.0 (+144970.0)
