Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2018-01-03,189.5,192,189,192,36.45,9,4.84,6,1271200,601100,537300,132800,196.69,200.95,192.59,-3.87,41.22
2018-01-04,191,194,191,194,36.83,9.09,4.84,6,1418000,787300,434500,196200,196.49,200.67,192.6,-3.51,44.94
2018-01-05,195,195,191,192.5,36.54,9.02,4.84,6,944700,302900,457000,184800,196.18,200.35,192.6,-3.3,42.75
2018-01-08,191,193.5,190,190,36.07,8.9,4.84,6,1051300,446200,406300,198800,195.7,199.95,192.57,-3.31,39.32
2018-01-09,190,192,189.5,192,36.45,9,4.84,6,1098600,579400,347900,171300,195.42,199.63,192.57,-3.11,43.25
2018-01-10,194,204,193.5,200,37.97,9.37,4.84,6,5535400,2839300,2404700,291400,195.77,199.65,192.64,-2.29,55.62
2018-01-11,199.5,202,195.5,196,37.21,9.19,4.84,6,4279300,1922300,2006700,350300,195.79,199.51,192.68,-1.93,49.78
2018-01-12,195,202,195,196,37.21,9.19,4.84,6,3030900,1451400,1246800,332700,195.81,199.37,192.71,-1.63,49.78
2018-01-15,196.5,201,194.5,195,37.02,9.14,4.84,6,3359700,1411300,1641400,307000,195.74,199.2,192.73,-1.46,48.31
2018-01-16,197,198,195,197,37.4,9.23,4.84,6,1246900,485900,631300,129700,195.84,199.11,192.77,-1.15,51.4
2018-01-17,196.5,199,194.5,195,37.02,9.14,4.84,6,2097300,696600,1059200,341500,195.78,198.95,192.8,-1.05,48.29
2018-01-18,195,198,195,196.5,37.3,9.21,4.84,6,6315800,538300,500300,5277200,195.83,198.85,192.83,-0.84,50.7
2018-01-19,197,198,196,197,37.4,9.23,4.84,6,1708200,601300,859500,247400,195.92,198.78,192.87,-0.63,51.51
2018-01-22,197.5,198.5,196,197,37.4,9.23,4.84,6,1484500,749200,590600,144700,196,198.71,192.92,-0.45,51.51
2018-01-23,197.5,198.5,196.5,197.5,37.49,9.26,4.84,6,2084100,383600,357900,1342600,196.12,198.66,192.96,-0.27,52.42
