Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2018-01-03,8.3,8.35,8.25,8.3,50.04,2.38,0.15,3,23134800,10647300,5912000,6575500,8.31,8.35,8.42,-0.01,48.7
2018-01-12,8.4,8.45,8.35,8.4,50.64,2.41,0.15,3,21433500,6968400,6801500,7663600,8.33,8.35,8.41,0.01,55.06
2018-01-23,8.2,8.25,8.1,8.15,49.13,2.34,0.15,3,58966500,5280000,44985400,8701100,8.3,8.33,8.41,-0.02,38.45
2018-02-01,8.05,8.05,7.95,7.95,47.93,2.28,0.15,3,61888100,21234900,35862700,4790500,8.19,8.26,8.38,-0.08,30.14
2018-02-12,7.85,8.05,7.85,8.0,48.23,2.3,0.15,3,30042900,14572100,10578500,4892300,8.08,8.18,8.35,-0.1,44.13
2018-02-21,8.2,8.2,8.0,8.1,40.22,2.33,0.18,3,41712200,16009100,21858900,3844200,8.08,8.15,8.33,-0.03,51.13
2018-03-05,8.2,8.25,8.15,8.2,40.72,2.36,0.18,3,25412000,7573500,14382100,3456400,8.12,8.16,8.32,0.02,56.49
2018-03-14,8.3,8.35,8.2,8.35,41.46,2.4,0.18,3,15959600,6551000,5045100,4363500,8.18,8.18,8.32,0.05,63.93
2018-03-23,8.3,8.35,8.25,8.3,41.22,2.39,0.18,3,13936800,4281000,5696000,3959800,8.24,8.22,8.32,0.05,56.07
2018-04-03,8.3,8.35,8.25,8.35,41.8,2.42,0.18,3,14241800,4711200,2543200,6987400,8.27,8.24,8.32,0.04,57.07
2018-04-17,8.6,8.65,8.55,8.55,42.46,2.46,0.18,3,21548300,6323400,10549700,4675200,8.37,8.3,8.33,0.09,62.37
2018-04-26,8.6,8.7,8.6,8.7,43.2,2.5,0.18,3,26351700,10936000,10248000,5167700,8.49,8.39,8.35,0.11,67.5
2018-05-08,9.15,9.3,9.15,9.2,45.69,2.65,0.18,3,59136900,31546800,24052800,3537300,8.76,8.56,8.4,0.22,79.15
2018-05-17,9.35,9.4,9.2,9.3,46.18,2.67,0.18,3,35393500,7762300,18950600,8680600,9.01,8.76,8.47,0.24,68.05
2018-05-28,9.5,9.55,9.4,9.5,47.18,2.73,0.18,3,16330800,5174400,7788200,3368200,9.22,8.93,8.53,0.21,69.5
2018-06-07,9.65,9.7,9.55,9.55,25.62,2.79,0.34,3,45658900,17548000,15540900,12570000,9.41,9.11,8.61,0.19,57.54
2018-06-18,9.3,9.45,9.1,9.3,24.95,2.71,0.34,3,57642900,24082900,23248400,10311600,9.45,9.21,8.67,0.07,43.86
