Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,214.01
1,2022-01-04,18,2022-01-13,236.52
2,2022-01-13,18,2022-01-24,219.56
3,2022-01-24,18,2022-02-02,225.52
4,2022-02-02,18,2022-02-11,227.84
5,2022-02-11,18,2022-02-23,229.86
6,2022-02-23,18,2022-03-04,239.15
7,2022-03-04,18,2022-03-15,233.78
8,2022-03-15,18,2022-03-24,229.72
9,2022-03-24,18,2022-04-04,229.58
10,2022-04-04,18,2022-04-19,232.35
11,2022-04-19,18,2022-04-28,218.35
12,2022-04-28,18,2022-05-11,214.37
13,2022-05-11,18,2022-05-23,214.1
14,2022-05-23,18,2022-06-01,220.03
15,2022-06-01,18,2022-06-13,221.89
16,2022-06-13,18,2022-06-22,208.95
17,2022-06-22,18,2022-07-01,199.55
18,2022-07-01,18,2022-07-12,195.76
19,2022-07-12,18,2022-07-22,194.82
20,2022-07-22,18,2022-08-04,201.59
21,2022-08-04,18,2022-08-16,200.66
22,2022-08-16,18,2022-08-25,200.68
23,2022-08-25,18,2022-09-05,190.36
24,2022-09-05,18,2022-09-14,187.35
25,2022-09-14,18,2022-09-23,194.23
26,2022-09-23,18,2022-10-04,192.91
27,2022-10-04,18,2022-10-17,196.16
28,2022-10-17,18,2022-10-27,178.71
29,2022-10-27,18,2022-11-07,183.15
30,2022-11-07,18,2022-11-16,188.91
31,2022-11-16,18,2022-11-25,190.8
32,2022-11-25,18,2022-12-07,186.09
33,2022-12-07,18,2022-12-19,184.62
34,2022-12-19,18,2022-12-28,178.32
