Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,219.12
1,2022-01-04,18,2022-01-13,223.32
2,2022-01-13,18,2022-01-24,223.36
3,2022-01-24,18,2022-02-02,224.63
4,2022-02-02,18,2022-02-11,224.35
5,2022-02-11,18,2022-02-23,225.61
6,2022-02-23,18,2022-03-04,227.57
7,2022-03-04,18,2022-03-15,225.05
8,2022-03-15,18,2022-03-24,224.46
9,2022-03-24,18,2022-04-04,227.19
10,2022-04-04,18,2022-04-19,228.78
11,2022-04-19,18,2022-04-28,227.42
12,2022-04-28,18,2022-05-11,226.09
13,2022-05-11,18,2022-05-23,220.79
14,2022-05-23,18,2022-06-01,220.78
15,2022-06-01,18,2022-06-13,220.39
16,2022-06-13,18,2022-06-22,205.76
17,2022-06-22,18,2022-07-01,198.16
18,2022-07-01,18,2022-07-12,193.78
19,2022-07-12,18,2022-07-22,200.5
20,2022-07-22,18,2022-08-04,199.22
21,2022-08-04,18,2022-08-16,199.19
22,2022-08-16,18,2022-08-25,198.12
23,2022-08-25,18,2022-09-05,193.34
24,2022-09-05,18,2022-09-14,193.05
25,2022-09-14,18,2022-09-23,196.51
26,2022-09-23,18,2022-10-04,192.56
27,2022-10-04,18,2022-10-17,192.09
28,2022-10-17,18,2022-10-27,188.43
29,2022-10-27,18,2022-11-07,190.96
30,2022-11-07,18,2022-11-16,189.69
31,2022-11-16,18,2022-11-25,188.88
32,2022-11-25,18,2022-12-07,188.78
33,2022-12-07,18,2022-12-19,189.53
34,2022-12-19,18,2022-12-28,188.55
