Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,193.07
1,2022-01-04,18,2022-01-13,194.39
2,2022-01-13,18,2022-01-24,191.89
3,2022-01-24,18,2022-02-02,193.82
4,2022-02-02,18,2022-02-11,191.34
5,2022-02-11,18,2022-02-23,181.79
6,2022-02-23,18,2022-03-04,182.59
7,2022-03-04,18,2022-03-15,193.33
8,2022-03-15,18,2022-03-24,188.06
9,2022-03-24,18,2022-04-04,185.13
10,2022-04-04,18,2022-04-19,193.63
11,2022-04-19,18,2022-04-28,197.18
12,2022-04-28,18,2022-05-11,210.07
13,2022-05-11,18,2022-05-23,212.85
14,2022-05-23,18,2022-06-01,213.87
15,2022-06-01,18,2022-06-13,205.29
16,2022-06-13,18,2022-06-22,198.03
17,2022-06-22,18,2022-07-01,192.27
18,2022-07-01,18,2022-07-12,198.8
19,2022-07-12,18,2022-07-22,206.13
20,2022-07-22,18,2022-08-04,201.98
21,2022-08-04,18,2022-08-16,189.53
22,2022-08-16,18,2022-08-25,194.54
23,2022-08-25,18,2022-09-05,170.17
24,2022-09-05,18,2022-09-14,173.41
25,2022-09-14,18,2022-09-23,178.85
26,2022-09-23,18,2022-10-04,187.44
27,2022-10-04,18,2022-10-17,197.15
28,2022-10-17,18,2022-10-27,192.07
29,2022-10-27,18,2022-11-07,195.28
30,2022-11-07,18,2022-11-16,181.04
31,2022-11-16,18,2022-11-25,190.18
32,2022-11-25,18,2022-12-07,189.83
33,2022-12-07,18,2022-12-19,191.27
34,2022-12-19,18,2022-12-28,190.63
