Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,202.06
1,2022-01-04,18,2022-01-13,225.21
2,2022-01-13,18,2022-01-24,218.84
3,2022-01-24,18,2022-02-02,235.2
4,2022-02-02,18,2022-02-11,227.21
5,2022-02-11,18,2022-02-23,235.66
6,2022-02-23,18,2022-03-04,238.37
7,2022-03-04,18,2022-03-15,235.04
8,2022-03-15,18,2022-03-24,224.27
9,2022-03-24,18,2022-04-04,225.98
10,2022-04-04,18,2022-04-19,230.62
11,2022-04-19,18,2022-04-28,216.95
12,2022-04-28,18,2022-05-11,214.7
13,2022-05-11,18,2022-05-23,215.15
14,2022-05-23,18,2022-06-01,218.72
15,2022-06-01,18,2022-06-13,220.96
16,2022-06-13,18,2022-06-22,205.29
17,2022-06-22,18,2022-07-01,198.21
18,2022-07-01,18,2022-07-12,195.76
19,2022-07-12,18,2022-07-22,193.16
20,2022-07-22,18,2022-08-04,199.21
21,2022-08-04,18,2022-08-16,193.85
22,2022-08-16,18,2022-08-25,192.87
23,2022-08-25,18,2022-09-05,185.45
24,2022-09-05,18,2022-09-14,190.54
25,2022-09-14,18,2022-09-23,193.26
26,2022-09-23,18,2022-10-04,191.76
27,2022-10-04,18,2022-10-17,191.06
28,2022-10-17,18,2022-10-27,184.38
29,2022-10-27,18,2022-11-07,185.97
30,2022-11-07,18,2022-11-16,181.14
31,2022-11-16,18,2022-11-25,185.17
32,2022-11-25,18,2022-12-07,188.1
33,2022-12-07,18,2022-12-19,178.79
34,2022-12-19,18,2022-12-28,184.64
