Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,218.52
1,2022-01-04,18,2022-01-13,221.47
2,2022-01-13,18,2022-01-24,219.84
3,2022-01-24,18,2022-02-02,222.3
4,2022-02-02,18,2022-02-11,223.07
5,2022-02-11,18,2022-02-23,223.94
6,2022-02-23,18,2022-03-04,224.99
7,2022-03-04,18,2022-03-15,225.3
8,2022-03-15,18,2022-03-24,225.45
9,2022-03-24,18,2022-04-04,228.76
10,2022-04-04,18,2022-04-19,227.72
11,2022-04-19,18,2022-04-28,223.79
12,2022-04-28,18,2022-05-11,223.82
13,2022-05-11,18,2022-05-23,221.25
14,2022-05-23,18,2022-06-01,221.5
15,2022-06-01,18,2022-06-13,221.05
16,2022-06-13,18,2022-06-22,206.37
17,2022-06-22,18,2022-07-01,199.34
18,2022-07-01,18,2022-07-12,195.52
19,2022-07-12,18,2022-07-22,201.94
20,2022-07-22,18,2022-08-04,201.26
21,2022-08-04,18,2022-08-16,200.46
22,2022-08-16,18,2022-08-25,201.43
23,2022-08-25,18,2022-09-05,196.35
24,2022-09-05,18,2022-09-14,194.24
25,2022-09-14,18,2022-09-23,195.69
26,2022-09-23,18,2022-10-04,190.21
27,2022-10-04,18,2022-10-17,190.9
28,2022-10-17,18,2022-10-27,188.34
29,2022-10-27,18,2022-11-07,189.59
30,2022-11-07,18,2022-11-16,191.34
31,2022-11-16,18,2022-11-25,189.37
32,2022-11-25,18,2022-12-07,188.08
33,2022-12-07,18,2022-12-19,188.09
34,2022-12-19,18,2022-12-28,188.79
