Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,15853.94
1,2022-01-04,18,2022-01-13,-3550.41
2,2022-01-13,18,2022-01-24,-733.4
3,2022-01-24,18,2022-02-02,-3136.4
4,2022-02-02,18,2022-02-11,750.49
5,2022-02-11,18,2022-02-23,-349.2
6,2022-02-23,18,2022-03-04,139.16
7,2022-03-04,18,2022-03-15,-1793.74
8,2022-03-15,18,2022-03-24,1304.75
9,2022-03-24,18,2022-04-04,-657.02
10,2022-04-04,18,2022-04-19,-539.03
11,2022-04-19,18,2022-04-28,-343.11
12,2022-04-28,18,2022-05-11,-1222.54
13,2022-05-11,18,2022-05-23,1405.08
14,2022-05-23,18,2022-06-01,673.4
15,2022-06-01,18,2022-06-13,-90.71
16,2022-06-13,18,2022-06-22,-132.71
17,2022-06-22,18,2022-07-01,576.41
18,2022-07-01,18,2022-07-12,472.75
19,2022-07-12,18,2022-07-22,143.31
20,2022-07-22,18,2022-08-04,497.41
21,2022-08-04,18,2022-08-16,282.82
22,2022-08-16,18,2022-08-25,251.9
23,2022-08-25,18,2022-09-05,229.12
24,2022-09-05,18,2022-09-14,381.02
25,2022-09-14,18,2022-09-23,164.59
26,2022-09-23,18,2022-10-04,271.17
27,2022-10-04,18,2022-10-17,141.19
28,2022-10-17,18,2022-10-27,192.54
29,2022-10-27,18,2022-11-07,119.1
30,2022-11-07,18,2022-11-16,187.77
31,2022-11-16,18,2022-11-25,-192.89
32,2022-11-25,18,2022-12-07,172.28
33,2022-12-07,18,2022-12-19,912.51
34,2022-12-19,18,2022-12-28,398.32
