Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,211.8
1,2022-01-04,18,2022-01-13,220.86
2,2022-01-13,18,2022-01-24,223.03
3,2022-01-24,18,2022-02-02,226.47
4,2022-02-02,18,2022-02-11,224.47
5,2022-02-11,18,2022-02-23,224.34
6,2022-02-23,18,2022-03-04,221.21
7,2022-03-04,18,2022-03-15,225.09
8,2022-03-15,18,2022-03-24,228.72
9,2022-03-24,18,2022-04-04,226.46
10,2022-04-04,18,2022-04-19,226.61
11,2022-04-19,18,2022-04-28,225.62
12,2022-04-28,18,2022-05-11,222.66
13,2022-05-11,18,2022-05-23,216.56
14,2022-05-23,18,2022-06-01,229.86
15,2022-06-01,18,2022-06-13,222.25
16,2022-06-13,18,2022-06-22,214.48
17,2022-06-22,18,2022-07-01,202.07
18,2022-07-01,18,2022-07-12,197.84
19,2022-07-12,18,2022-07-22,202.89
20,2022-07-22,18,2022-08-04,203.18
21,2022-08-04,18,2022-08-16,202.25
22,2022-08-16,18,2022-08-25,204.2
23,2022-08-25,18,2022-09-05,191.15
24,2022-09-05,18,2022-09-14,193.33
25,2022-09-14,18,2022-09-23,195.77
26,2022-09-23,18,2022-10-04,194.55
27,2022-10-04,18,2022-10-17,191.25
28,2022-10-17,18,2022-10-27,190.36
29,2022-10-27,18,2022-11-07,187.8
30,2022-11-07,18,2022-11-16,188.14
31,2022-11-16,18,2022-11-25,187.7
32,2022-11-25,18,2022-12-07,190.0
33,2022-12-07,18,2022-12-19,186.9
34,2022-12-19,18,2022-12-28,189.14
