Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,191.41
1,2022-01-04,18,2022-01-13,194.05
2,2022-01-13,18,2022-01-24,189.94
3,2022-01-24,18,2022-02-02,194.7
4,2022-02-02,18,2022-02-11,195.34
5,2022-02-11,18,2022-02-23,194.96
6,2022-02-23,18,2022-03-04,195.54
7,2022-03-04,18,2022-03-15,192.98
8,2022-03-15,18,2022-03-24,192.81
9,2022-03-24,18,2022-04-04,197.11
10,2022-04-04,18,2022-04-19,193.77
11,2022-04-19,18,2022-04-28,194.52
12,2022-04-28,18,2022-05-11,198.08
13,2022-05-11,18,2022-05-23,195.15
14,2022-05-23,18,2022-06-01,200.26
15,2022-06-01,18,2022-06-13,198.78
16,2022-06-13,18,2022-06-22,196.41
17,2022-06-22,18,2022-07-01,196.39
18,2022-07-01,18,2022-07-12,199.27
19,2022-07-12,18,2022-07-22,196.79
20,2022-07-22,18,2022-08-04,196.79
21,2022-08-04,18,2022-08-16,197.23
22,2022-08-16,18,2022-08-25,197.25
23,2022-08-25,18,2022-09-05,197.34
24,2022-09-05,18,2022-09-14,199.86
25,2022-09-14,18,2022-09-23,199.92
26,2022-09-23,18,2022-10-04,197.53
27,2022-10-04,18,2022-10-17,197.56
28,2022-10-17,18,2022-10-27,197.5
29,2022-10-27,18,2022-11-07,197.47
30,2022-11-07,18,2022-11-16,197.36
31,2022-11-16,18,2022-11-25,197.27
32,2022-11-25,18,2022-12-07,197.19
33,2022-12-07,18,2022-12-19,197.04
34,2022-12-19,18,2022-12-28,197.19
