Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,203.54
1,2022-01-04,18,2022-01-13,225.7
2,2022-01-13,18,2022-01-24,209.91
3,2022-01-24,18,2022-02-02,220.66
4,2022-02-02,18,2022-02-11,227.73
5,2022-02-11,18,2022-02-23,229.4
6,2022-02-23,18,2022-03-04,234.97
7,2022-03-04,18,2022-03-15,228.37
8,2022-03-15,18,2022-03-24,228.5
9,2022-03-24,18,2022-04-04,234.87
10,2022-04-04,18,2022-04-19,236.43
11,2022-04-19,18,2022-04-28,220.56
12,2022-04-28,18,2022-05-11,212.05
13,2022-05-11,18,2022-05-23,204.54
14,2022-05-23,18,2022-06-01,217.33
15,2022-06-01,18,2022-06-13,217.98
16,2022-06-13,18,2022-06-22,211.33
17,2022-06-22,18,2022-07-01,184.12
18,2022-07-01,18,2022-07-12,195.73
19,2022-07-12,18,2022-07-22,200.19
20,2022-07-22,18,2022-08-04,198.09
21,2022-08-04,18,2022-08-16,190.02
22,2022-08-16,18,2022-08-25,198.77
23,2022-08-25,18,2022-09-05,188.32
24,2022-09-05,18,2022-09-14,188.86
25,2022-09-14,18,2022-09-23,186.35
26,2022-09-23,18,2022-10-04,194.03
27,2022-10-04,18,2022-10-17,188.92
28,2022-10-17,18,2022-10-27,185.14
29,2022-10-27,18,2022-11-07,199.55
30,2022-11-07,18,2022-11-16,187.61
31,2022-11-16,18,2022-11-25,183.95
32,2022-11-25,18,2022-12-07,188.93
33,2022-12-07,18,2022-12-19,178.94
34,2022-12-19,18,2022-12-28,181.47
