Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,220.33
1,2022-01-04,18,2022-01-13,225.4
2,2022-01-13,18,2022-01-24,222.77
3,2022-01-24,18,2022-02-02,224.16
4,2022-02-02,18,2022-02-11,223.75
5,2022-02-11,18,2022-02-23,226.24
6,2022-02-23,18,2022-03-04,225.61
7,2022-03-04,18,2022-03-15,225.9
8,2022-03-15,18,2022-03-24,227.19
9,2022-03-24,18,2022-04-04,229.31
10,2022-04-04,18,2022-04-19,229.64
11,2022-04-19,18,2022-04-28,226.93
12,2022-04-28,18,2022-05-11,224.84
13,2022-05-11,18,2022-05-23,221.38
14,2022-05-23,18,2022-06-01,220.99
15,2022-06-01,18,2022-06-13,220.8
16,2022-06-13,18,2022-06-22,209.05
17,2022-06-22,18,2022-07-01,197.34
18,2022-07-01,18,2022-07-12,195.75
19,2022-07-12,18,2022-07-22,199.4
20,2022-07-22,18,2022-08-04,200.29
21,2022-08-04,18,2022-08-16,201.26
22,2022-08-16,18,2022-08-25,199.88
23,2022-08-25,18,2022-09-05,193.66
24,2022-09-05,18,2022-09-14,192.37
25,2022-09-14,18,2022-09-23,194.39
26,2022-09-23,18,2022-10-04,192.95
27,2022-10-04,18,2022-10-17,193.13
28,2022-10-17,18,2022-10-27,188.34
29,2022-10-27,18,2022-11-07,191.19
30,2022-11-07,18,2022-11-16,191.61
31,2022-11-16,18,2022-11-25,190.41
32,2022-11-25,18,2022-12-07,189.88
33,2022-12-07,18,2022-12-19,188.87
34,2022-12-19,18,2022-12-28,187.9
