Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,221.25
1,2022-01-04,18,2022-01-13,224.99
2,2022-01-13,18,2022-01-24,223.94
3,2022-01-24,18,2022-02-02,224.63
4,2022-02-02,18,2022-02-11,225.02
5,2022-02-11,18,2022-02-23,225.99
6,2022-02-23,18,2022-03-04,227.13
7,2022-03-04,18,2022-03-15,226.71
8,2022-03-15,18,2022-03-24,228.78
9,2022-03-24,18,2022-04-04,229.7
10,2022-04-04,18,2022-04-19,229.6
11,2022-04-19,18,2022-04-28,227.6
12,2022-04-28,18,2022-05-11,224.02
13,2022-05-11,18,2022-05-23,220.48
14,2022-05-23,18,2022-06-01,220.46
15,2022-06-01,18,2022-06-13,220.2
16,2022-06-13,18,2022-06-22,212.44
17,2022-06-22,18,2022-07-01,198.7
18,2022-07-01,18,2022-07-12,194.16
19,2022-07-12,18,2022-07-22,199.46
20,2022-07-22,18,2022-08-04,201.16
21,2022-08-04,18,2022-08-16,199.41
22,2022-08-16,18,2022-08-25,201.03
23,2022-08-25,18,2022-09-05,193.74
24,2022-09-05,18,2022-09-14,193.65
25,2022-09-14,18,2022-09-23,194.96
26,2022-09-23,18,2022-10-04,192.76
27,2022-10-04,18,2022-10-17,193.88
28,2022-10-17,18,2022-10-27,187.63
29,2022-10-27,18,2022-11-07,189.84
30,2022-11-07,18,2022-11-16,189.88
31,2022-11-16,18,2022-11-25,189.34
32,2022-11-25,18,2022-12-07,188.97
33,2022-12-07,18,2022-12-19,188.91
34,2022-12-19,18,2022-12-28,188.58
