Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,218.3
1,2022-01-04,18,2022-01-13,220.27
2,2022-01-13,18,2022-01-24,221.09
3,2022-01-24,18,2022-02-02,221.89
4,2022-02-02,18,2022-02-11,220.91
5,2022-02-11,18,2022-02-23,223.2
6,2022-02-23,18,2022-03-04,223.62
7,2022-03-04,18,2022-03-15,225.11
8,2022-03-15,18,2022-03-24,223.26
9,2022-03-24,18,2022-04-04,226.19
10,2022-04-04,18,2022-04-19,227.4
11,2022-04-19,18,2022-04-28,224.44
12,2022-04-28,18,2022-05-11,223.5
13,2022-05-11,18,2022-05-23,222.99
14,2022-05-23,18,2022-06-01,221.47
15,2022-06-01,18,2022-06-13,220.88
16,2022-06-13,18,2022-06-22,210.51
17,2022-06-22,18,2022-07-01,198.37
18,2022-07-01,18,2022-07-12,193.35
19,2022-07-12,18,2022-07-22,203.98
20,2022-07-22,18,2022-08-04,200.12
21,2022-08-04,18,2022-08-16,200.78
22,2022-08-16,18,2022-08-25,201.62
23,2022-08-25,18,2022-09-05,194.88
24,2022-09-05,18,2022-09-14,193.9
25,2022-09-14,18,2022-09-23,195.07
26,2022-09-23,18,2022-10-04,193.47
27,2022-10-04,18,2022-10-17,192.83
28,2022-10-17,18,2022-10-27,189.86
29,2022-10-27,18,2022-11-07,191.25
30,2022-11-07,18,2022-11-16,190.88
31,2022-11-16,18,2022-11-25,189.93
32,2022-11-25,18,2022-12-07,189.55
33,2022-12-07,18,2022-12-19,190.49
34,2022-12-19,18,2022-12-28,189.47
