Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,-56018.6
1,2022-01-04,18,2022-01-13,11434.18
2,2022-01-13,18,2022-01-24,3553.49
3,2022-01-24,18,2022-02-02,1440.57
4,2022-02-02,18,2022-02-11,-2676.19
5,2022-02-11,18,2022-02-23,-945.19
6,2022-02-23,18,2022-03-04,-1189.46
7,2022-03-04,18,2022-03-15,-1229.73
8,2022-03-15,18,2022-03-24,-1175.16
9,2022-03-24,18,2022-04-04,837.46
10,2022-04-04,18,2022-04-19,22.55
11,2022-04-19,18,2022-04-28,334.97
12,2022-04-28,18,2022-05-11,191.54
13,2022-05-11,18,2022-05-23,1176.86
14,2022-05-23,18,2022-06-01,164.62
15,2022-06-01,18,2022-06-13,-752.77
16,2022-06-13,18,2022-06-22,56.34
17,2022-06-22,18,2022-07-01,178.74
18,2022-07-01,18,2022-07-12,175.28
19,2022-07-12,18,2022-07-22,58.32
20,2022-07-22,18,2022-08-04,243.61
21,2022-08-04,18,2022-08-16,304.25
22,2022-08-16,18,2022-08-25,398.62
23,2022-08-25,18,2022-09-05,401.33
24,2022-09-05,18,2022-09-14,162.82
25,2022-09-14,18,2022-09-23,285.07
26,2022-09-23,18,2022-10-04,11.75
27,2022-10-04,18,2022-10-17,179.37
28,2022-10-17,18,2022-10-27,197.39
29,2022-10-27,18,2022-11-07,109.55
30,2022-11-07,18,2022-11-16,149.74
31,2022-11-16,18,2022-11-25,155.21
32,2022-11-25,18,2022-12-07,82.65
33,2022-12-07,18,2022-12-19,271.54
34,2022-12-19,18,2022-12-28,421.2
