Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,215.18
1,2022-01-04,18,2022-01-13,220.56
2,2022-01-13,18,2022-01-24,221.18
3,2022-01-24,18,2022-02-02,220.79
4,2022-02-02,18,2022-02-11,221.14
5,2022-02-11,18,2022-02-23,223.91
6,2022-02-23,18,2022-03-04,226.32
7,2022-03-04,18,2022-03-15,225.53
8,2022-03-15,18,2022-03-24,225.52
9,2022-03-24,18,2022-04-04,228.32
10,2022-04-04,18,2022-04-19,227.44
11,2022-04-19,18,2022-04-28,224.19
12,2022-04-28,18,2022-05-11,225.46
13,2022-05-11,18,2022-05-23,221.59
14,2022-05-23,18,2022-06-01,221.83
15,2022-06-01,18,2022-06-13,221.73
16,2022-06-13,18,2022-06-22,206.01
17,2022-06-22,18,2022-07-01,195.55
18,2022-07-01,18,2022-07-12,196.1
19,2022-07-12,18,2022-07-22,202.25
20,2022-07-22,18,2022-08-04,201.38
21,2022-08-04,18,2022-08-16,200.83
22,2022-08-16,18,2022-08-25,200.41
23,2022-08-25,18,2022-09-05,194.34
24,2022-09-05,18,2022-09-14,191.88
25,2022-09-14,18,2022-09-23,195.42
26,2022-09-23,18,2022-10-04,193.37
27,2022-10-04,18,2022-10-17,190.62
28,2022-10-17,18,2022-10-27,186.91
29,2022-10-27,18,2022-11-07,191.17
30,2022-11-07,18,2022-11-16,192.71
31,2022-11-16,18,2022-11-25,190.41
32,2022-11-25,18,2022-12-07,189.81
33,2022-12-07,18,2022-12-19,188.68
34,2022-12-19,18,2022-12-28,189.72
