Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,216.56
1,2022-01-04,18,2022-01-13,213.59
2,2022-01-13,18,2022-01-24,220.83
3,2022-01-24,18,2022-02-02,218.1
4,2022-02-02,18,2022-02-11,222.11
5,2022-02-11,18,2022-02-23,225.34
6,2022-02-23,18,2022-03-04,225.05
7,2022-03-04,18,2022-03-15,227.77
8,2022-03-15,18,2022-03-24,230.11
9,2022-03-24,18,2022-04-04,226.32
10,2022-04-04,18,2022-04-19,228.66
11,2022-04-19,18,2022-04-28,223.33
12,2022-04-28,18,2022-05-11,218.79
13,2022-05-11,18,2022-05-23,218.29
14,2022-05-23,18,2022-06-01,221.91
15,2022-06-01,18,2022-06-13,222.65
16,2022-06-13,18,2022-06-22,217.46
17,2022-06-22,18,2022-07-01,197.42
18,2022-07-01,18,2022-07-12,193.4
19,2022-07-12,18,2022-07-22,205.24
20,2022-07-22,18,2022-08-04,199.58
21,2022-08-04,18,2022-08-16,195.41
22,2022-08-16,18,2022-08-25,202.01
23,2022-08-25,18,2022-09-05,193.96
24,2022-09-05,18,2022-09-14,194.4
25,2022-09-14,18,2022-09-23,198.14
26,2022-09-23,18,2022-10-04,193.05
27,2022-10-04,18,2022-10-17,188.69
28,2022-10-17,18,2022-10-27,188.84
29,2022-10-27,18,2022-11-07,192.33
30,2022-11-07,18,2022-11-16,194.56
31,2022-11-16,18,2022-11-25,188.48
32,2022-11-25,18,2022-12-07,192.2
33,2022-12-07,18,2022-12-19,188.63
34,2022-12-19,18,2022-12-28,187.81
