Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,218.6
1,2022-01-04,18,2022-01-13,234.81
2,2022-01-13,18,2022-01-24,222.0
3,2022-01-24,18,2022-02-02,227.58
4,2022-02-02,18,2022-02-11,229.02
5,2022-02-11,18,2022-02-23,239.73
6,2022-02-23,18,2022-03-04,246.6
7,2022-03-04,18,2022-03-15,233.33
8,2022-03-15,18,2022-03-24,229.65
9,2022-03-24,18,2022-04-04,231.99
10,2022-04-04,18,2022-04-19,234.45
11,2022-04-19,18,2022-04-28,216.5
12,2022-04-28,18,2022-05-11,217.06
13,2022-05-11,18,2022-05-23,221.6
14,2022-05-23,18,2022-06-01,210.35
15,2022-06-01,18,2022-06-13,220.27
16,2022-06-13,18,2022-06-22,199.91
17,2022-06-22,18,2022-07-01,192.67
18,2022-07-01,18,2022-07-12,193.31
19,2022-07-12,18,2022-07-22,190.82
20,2022-07-22,18,2022-08-04,200.15
21,2022-08-04,18,2022-08-16,195.63
22,2022-08-16,18,2022-08-25,201.07
23,2022-08-25,18,2022-09-05,193.16
24,2022-09-05,18,2022-09-14,188.51
25,2022-09-14,18,2022-09-23,191.11
26,2022-09-23,18,2022-10-04,186.29
27,2022-10-04,18,2022-10-17,190.19
28,2022-10-17,18,2022-10-27,184.57
29,2022-10-27,18,2022-11-07,188.48
30,2022-11-07,18,2022-11-16,183.88
31,2022-11-16,18,2022-11-25,183.0
32,2022-11-25,18,2022-12-07,186.39
33,2022-12-07,18,2022-12-19,186.39
34,2022-12-19,18,2022-12-28,186.05
