Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,220.23
1,2022-01-04,18,2022-01-13,227.19
2,2022-01-13,18,2022-01-24,224.01
3,2022-01-24,18,2022-02-02,227.8
4,2022-02-02,18,2022-02-11,227.14
5,2022-02-11,18,2022-02-23,229.62
6,2022-02-23,18,2022-03-04,229.63
7,2022-03-04,18,2022-03-15,226.41
8,2022-03-15,18,2022-03-24,229.31
9,2022-03-24,18,2022-04-04,231.05
10,2022-04-04,18,2022-04-19,232.32
11,2022-04-19,18,2022-04-28,226.74
12,2022-04-28,18,2022-05-11,226.0
13,2022-05-11,18,2022-05-23,220.14
14,2022-05-23,18,2022-06-01,219.13
15,2022-06-01,18,2022-06-13,222.61
16,2022-06-13,18,2022-06-22,210.38
17,2022-06-22,18,2022-07-01,196.58
18,2022-07-01,18,2022-07-12,193.46
19,2022-07-12,18,2022-07-22,200.94
20,2022-07-22,18,2022-08-04,199.19
21,2022-08-04,18,2022-08-16,200.43
22,2022-08-16,18,2022-08-25,198.48
23,2022-08-25,18,2022-09-05,191.88
24,2022-09-05,18,2022-09-14,193.47
25,2022-09-14,18,2022-09-23,195.28
26,2022-09-23,18,2022-10-04,193.29
27,2022-10-04,18,2022-10-17,192.03
28,2022-10-17,18,2022-10-27,188.34
29,2022-10-27,18,2022-11-07,189.74
30,2022-11-07,18,2022-11-16,190.03
31,2022-11-16,18,2022-11-25,187.96
32,2022-11-25,18,2022-12-07,188.28
33,2022-12-07,18,2022-12-19,186.65
34,2022-12-19,18,2022-12-28,187.39
