Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,-184371.79
1,2022-01-04,18,2022-01-13,-43547.71
2,2022-01-13,18,2022-01-24,28946.76
3,2022-01-24,18,2022-02-02,8063.57
4,2022-02-02,18,2022-02-11,-9116.88
5,2022-02-11,18,2022-02-23,14032.96
6,2022-02-23,18,2022-03-04,-1645.2
7,2022-03-04,18,2022-03-15,-8090.26
8,2022-03-15,18,2022-03-24,5691.95
9,2022-03-24,18,2022-04-04,941.29
10,2022-04-04,18,2022-04-19,-1693.35
11,2022-04-19,18,2022-04-28,-2481.3
12,2022-04-28,18,2022-05-11,-6440.25
13,2022-05-11,18,2022-05-23,100.32
14,2022-05-23,18,2022-06-01,-4230.42
15,2022-06-01,18,2022-06-13,-6291.54
16,2022-06-13,18,2022-06-22,-160.51
17,2022-06-22,18,2022-07-01,1468.33
18,2022-07-01,18,2022-07-12,682.69
19,2022-07-12,18,2022-07-22,157.86
20,2022-07-22,18,2022-08-04,721.12
21,2022-08-04,18,2022-08-16,1130.08
22,2022-08-16,18,2022-08-25,1533.31
23,2022-08-25,18,2022-09-05,512.35
24,2022-09-05,18,2022-09-14,1462.71
25,2022-09-14,18,2022-09-23,2505.7
26,2022-09-23,18,2022-10-04,1720.95
27,2022-10-04,18,2022-10-17,-167.43
28,2022-10-17,18,2022-10-27,-567.7
29,2022-10-27,18,2022-11-07,-41.73
30,2022-11-07,18,2022-11-16,-92.98
31,2022-11-16,18,2022-11-25,-9.58
32,2022-11-25,18,2022-12-07,-1764.51
33,2022-12-07,18,2022-12-19,354.88
34,2022-12-19,18,2022-12-28,507.08
