Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,218.96
1,2022-01-04,18,2022-01-13,222.06
2,2022-01-13,18,2022-01-24,226.89
3,2022-01-24,18,2022-02-02,224.64
4,2022-02-02,18,2022-02-11,227.8
5,2022-02-11,18,2022-02-23,230.39
6,2022-02-23,18,2022-03-04,229.24
7,2022-03-04,18,2022-03-15,224.78
8,2022-03-15,18,2022-03-24,223.47
9,2022-03-24,18,2022-04-04,230.59
10,2022-04-04,18,2022-04-19,233.47
11,2022-04-19,18,2022-04-28,223.68
12,2022-04-28,18,2022-05-11,220.93
13,2022-05-11,18,2022-05-23,216.49
14,2022-05-23,18,2022-06-01,219.55
15,2022-06-01,18,2022-06-13,220.29
16,2022-06-13,18,2022-06-22,202.14
17,2022-06-22,18,2022-07-01,199.36
18,2022-07-01,18,2022-07-12,183.82
19,2022-07-12,18,2022-07-22,197.54
20,2022-07-22,18,2022-08-04,204.31
21,2022-08-04,18,2022-08-16,202.45
22,2022-08-16,18,2022-08-25,203.11
23,2022-08-25,18,2022-09-05,194.93
24,2022-09-05,18,2022-09-14,192.79
25,2022-09-14,18,2022-09-23,191.26
26,2022-09-23,18,2022-10-04,192.55
27,2022-10-04,18,2022-10-17,192.57
28,2022-10-17,18,2022-10-27,188.64
29,2022-10-27,18,2022-11-07,189.91
30,2022-11-07,18,2022-11-16,187.2
31,2022-11-16,18,2022-11-25,186.86
32,2022-11-25,18,2022-12-07,187.04
33,2022-12-07,18,2022-12-19,186.68
34,2022-12-19,18,2022-12-28,185.32
