Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.51
1,2022-01-04,14,2022-01-13,10.71
2,2022-01-13,14,2022-01-24,10.06
3,2022-01-24,14,2022-02-02,10.69
4,2022-02-02,14,2022-02-11,10.68
5,2022-02-11,14,2022-02-23,10.29
6,2022-02-23,14,2022-03-04,10.85
7,2022-03-04,14,2022-03-15,10.5
8,2022-03-15,14,2022-03-24,10.63
9,2022-03-24,14,2022-04-04,10.58
10,2022-04-04,14,2022-04-19,10.75
11,2022-04-19,14,2022-04-28,11.03
12,2022-04-28,14,2022-05-11,12.57
13,2022-05-11,14,2022-05-23,12.18
14,2022-05-23,14,2022-06-01,11.48
15,2022-06-01,14,2022-06-13,12.09
16,2022-06-13,14,2022-06-22,12.57
17,2022-06-22,14,2022-07-01,12.66
18,2022-07-01,14,2022-07-12,12.31
19,2022-07-12,14,2022-07-22,12.6
20,2022-07-22,14,2022-08-04,12.78
21,2022-08-04,14,2022-08-16,12.32
22,2022-08-16,14,2022-08-25,12.64
23,2022-08-25,14,2022-09-05,13.71
24,2022-09-05,14,2022-09-14,14.2
25,2022-09-14,14,2022-09-23,13.74
26,2022-09-23,14,2022-10-04,13.05
27,2022-10-04,14,2022-10-17,12.93
28,2022-10-17,14,2022-10-27,12.62
29,2022-10-27,14,2022-11-07,13.04
30,2022-11-07,14,2022-11-16,12.84
31,2022-11-16,14,2022-11-25,12.63
32,2022-11-25,14,2022-12-07,13.02
33,2022-12-07,14,2022-12-19,13.12
34,2022-12-19,14,2022-12-28,13.68
