Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.87
1,2022-01-04,14,2022-01-13,10.53
2,2022-01-13,14,2022-01-24,10.7
3,2022-01-24,14,2022-02-02,11.0
4,2022-02-02,14,2022-02-11,11.01
5,2022-02-11,14,2022-02-23,10.57
6,2022-02-23,14,2022-03-04,10.91
7,2022-03-04,14,2022-03-15,10.94
8,2022-03-15,14,2022-03-24,11.25
9,2022-03-24,14,2022-04-04,10.96
10,2022-04-04,14,2022-04-19,11.18
11,2022-04-19,14,2022-04-28,11.34
12,2022-04-28,14,2022-05-11,12.81
13,2022-05-11,14,2022-05-23,12.15
14,2022-05-23,14,2022-06-01,10.95
15,2022-06-01,14,2022-06-13,12.67
16,2022-06-13,14,2022-06-22,12.88
17,2022-06-22,14,2022-07-01,11.92
18,2022-07-01,14,2022-07-12,12.69
19,2022-07-12,14,2022-07-22,12.86
20,2022-07-22,14,2022-08-04,13.02
21,2022-08-04,14,2022-08-16,12.74
22,2022-08-16,14,2022-08-25,12.71
23,2022-08-25,14,2022-09-05,13.94
24,2022-09-05,14,2022-09-14,13.47
25,2022-09-14,14,2022-09-23,13.52
26,2022-09-23,14,2022-10-04,12.6
27,2022-10-04,14,2022-10-17,13.34
28,2022-10-17,14,2022-10-27,13.12
29,2022-10-27,14,2022-11-07,12.71
30,2022-11-07,14,2022-11-16,12.88
31,2022-11-16,14,2022-11-25,12.76
32,2022-11-25,14,2022-12-07,12.66
33,2022-12-07,14,2022-12-19,12.84
34,2022-12-19,14,2022-12-28,13.67
