param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
XGBModel_lags12_lags_past_covariates12_output_chunk_length1.csv,3.71,0.65,54.29,31.43,31.43,25.71,25.71
XGBModel_lags12_lags_past_covariates16_output_chunk_length1.csv,3.31,0.61,62.86,37.14,34.29,31.43,31.43
XGBModel_lags12_lags_past_covariates1_output_chunk_length1.csv,4.15,0.68,62.86,28.57,28.57,37.14,37.14
XGBModel_lags12_lags_past_covariates20_output_chunk_length1.csv,3.66,0.63,68.57,34.29,31.43,37.14,37.14
XGBModel_lags12_lags_past_covariates24_output_chunk_length1.csv,3.52,0.61,65.71,34.29,31.43,34.29,34.29
XGBModel_lags12_lags_past_covariates2_output_chunk_length1.csv,4.67,0.73,60.0,28.57,25.71,34.29,34.29
XGBModel_lags12_lags_past_covariates3_output_chunk_length1.csv,4.08,0.66,57.14,22.86,20.0,37.14,37.14
XGBModel_lags12_lags_past_covariates4_output_chunk_length1.csv,3.92,0.61,51.43,22.86,22.86,31.43,31.43
XGBModel_lags12_lags_past_covariates8_output_chunk_length1.csv,3.81,0.64,60.0,34.29,31.43,28.57,28.57
XGBModel_lags16_lags_past_covariates12_output_chunk_length1.csv,4.08,0.68,60.0,31.43,28.57,31.43,31.43
XGBModel_lags16_lags_past_covariates16_output_chunk_length1.csv,3.41,0.62,62.86,37.14,34.29,31.43,31.43
XGBModel_lags16_lags_past_covariates1_output_chunk_length1.csv,4.43,0.7,48.57,20.0,17.14,31.43,31.43
XGBModel_lags16_lags_past_covariates20_output_chunk_length1.csv,3.7,0.63,71.43,37.14,34.29,37.14,37.14
XGBModel_lags16_lags_past_covariates24_output_chunk_length1.csv,3.63,0.61,68.57,37.14,34.29,34.29,34.29
XGBModel_lags16_lags_past_covariates2_output_chunk_length1.csv,4.74,0.78,48.57,17.14,14.29,34.29,34.29
XGBModel_lags16_lags_past_covariates3_output_chunk_length1.csv,3.78,0.62,60.0,28.57,25.71,34.29,34.29
XGBModel_lags16_lags_past_covariates4_output_chunk_length1.csv,3.91,0.63,57.14,31.43,28.57,28.57,28.57
XGBModel_lags16_lags_past_covariates8_output_chunk_length1.csv,3.93,0.64,65.71,31.43,28.57,37.14,37.14
XGBModel_lags1_lags_past_covariates12_output_chunk_length1.csv,3.61,0.65,71.43,42.86,42.86,31.43,31.43
XGBModel_lags1_lags_past_covariates16_output_chunk_length1.csv,3.8,0.65,62.86,31.43,31.43,31.43,31.43
XGBModel_lags1_lags_past_covariates1_output_chunk_length1.csv,4.44,0.69,45.71,22.86,20.0,25.71,25.71
XGBModel_lags1_lags_past_covariates20_output_chunk_length1.csv,3.77,0.67,68.57,34.29,31.43,37.14,37.14
XGBModel_lags1_lags_past_covariates24_output_chunk_length1.csv,3.59,0.61,68.57,34.29,31.43,37.14,37.14
XGBModel_lags1_lags_past_covariates2_output_chunk_length1.csv,4.46,0.74,54.29,22.86,20.0,34.29,34.29
XGBModel_lags1_lags_past_covariates3_output_chunk_length1.csv,4.09,0.64,60.0,22.86,22.86,40.0,40.0
XGBModel_lags1_lags_past_covariates4_output_chunk_length1.csv,4.13,0.68,60.0,28.57,25.71,34.29,34.29
XGBModel_lags1_lags_past_covariates8_output_chunk_length1.csv,3.64,0.63,68.57,40.0,37.14,37.14,37.14
XGBModel_lags20_lags_past_covariates12_output_chunk_length1.csv,3.54,0.59,62.86,37.14,34.29,31.43,31.43
XGBModel_lags20_lags_past_covariates16_output_chunk_length1.csv,3.46,0.59,62.86,37.14,34.29,31.43,31.43
XGBModel_lags20_lags_past_covariates1_output_chunk_length1.csv,4.02,0.67,60.0,28.57,25.71,34.29,34.29
XGBModel_lags20_lags_past_covariates20_output_chunk_length1.csv,3.79,0.64,65.71,31.43,28.57,37.14,37.14
XGBModel_lags20_lags_past_covariates24_output_chunk_length1.csv,3.65,0.62,62.86,31.43,28.57,34.29,34.29
XGBModel_lags20_lags_past_covariates2_output_chunk_length1.csv,4.42,0.71,45.71,20.0,17.14,28.57,28.57
XGBModel_lags20_lags_past_covariates3_output_chunk_length1.csv,3.92,0.63,57.14,25.71,22.86,34.29,34.29
XGBModel_lags20_lags_past_covariates4_output_chunk_length1.csv,3.84,0.6,65.71,34.29,34.29,31.43,31.43
XGBModel_lags20_lags_past_covariates8_output_chunk_length1.csv,3.37,0.54,68.57,37.14,37.14,34.29,34.29
XGBModel_lags24_lags_past_covariates12_output_chunk_length1.csv,4.27,0.69,51.43,28.57,25.71,25.71,25.71
XGBModel_lags24_lags_past_covariates16_output_chunk_length1.csv,3.27,0.57,65.71,37.14,34.29,31.43,31.43
XGBModel_lags24_lags_past_covariates1_output_chunk_length1.csv,3.74,0.66,60.0,25.71,25.71,34.29,34.29
XGBModel_lags24_lags_past_covariates20_output_chunk_length1.csv,3.49,0.55,65.71,40.0,34.29,31.43,31.43
XGBModel_lags24_lags_past_covariates24_output_chunk_length1.csv,3.7,0.62,60.0,28.57,25.71,34.29,34.29
XGBModel_lags24_lags_past_covariates2_output_chunk_length1.csv,4.18,0.71,60.0,28.57,25.71,34.29,34.29
XGBModel_lags24_lags_past_covariates3_output_chunk_length1.csv,4.34,0.69,54.29,22.86,22.86,31.43,31.43
XGBModel_lags24_lags_past_covariates4_output_chunk_length1.csv,3.96,0.61,51.43,28.57,28.57,25.71,22.86
XGBModel_lags24_lags_past_covariates8_output_chunk_length1.csv,3.71,0.61,68.57,42.86,40.0,28.57,28.57
XGBModel_lags2_lags_past_covariates12_output_chunk_length1.csv,3.59,0.64,68.57,40.0,40.0,31.43,31.43
XGBModel_lags2_lags_past_covariates16_output_chunk_length1.csv,3.78,0.64,62.86,31.43,31.43,31.43,31.43
XGBModel_lags2_lags_past_covariates1_output_chunk_length1.csv,4.57,0.7,48.57,22.86,20.0,31.43,31.43
XGBModel_lags2_lags_past_covariates20_output_chunk_length1.csv,3.75,0.67,68.57,34.29,31.43,37.14,37.14
XGBModel_lags2_lags_past_covariates24_output_chunk_length1.csv,3.56,0.61,68.57,34.29,31.43,37.14,37.14
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,4.39,0.74,54.29,22.86,20.0,34.29,34.29
XGBModel_lags2_lags_past_covariates3_output_chunk_length1.csv,4.11,0.63,60.0,22.86,22.86,40.0,40.0
XGBModel_lags2_lags_past_covariates4_output_chunk_length1.csv,4.11,0.68,60.0,25.71,22.86,37.14,37.14
XGBModel_lags2_lags_past_covariates8_output_chunk_length1.csv,3.7,0.63,68.57,40.0,37.14,37.14,37.14
XGBModel_lags3_lags_past_covariates12_output_chunk_length1.csv,3.63,0.64,68.57,40.0,40.0,31.43,31.43
XGBModel_lags3_lags_past_covariates16_output_chunk_length1.csv,3.73,0.64,62.86,31.43,31.43,31.43,31.43
XGBModel_lags3_lags_past_covariates1_output_chunk_length1.csv,4.25,0.68,60.0,28.57,25.71,34.29,34.29
XGBModel_lags3_lags_past_covariates20_output_chunk_length1.csv,3.78,0.67,71.43,34.29,31.43,40.0,40.0
XGBModel_lags3_lags_past_covariates24_output_chunk_length1.csv,3.5,0.6,68.57,34.29,31.43,37.14,37.14
XGBModel_lags3_lags_past_covariates2_output_chunk_length1.csv,4.16,0.69,54.29,20.0,17.14,37.14,37.14
XGBModel_lags3_lags_past_covariates3_output_chunk_length1.csv,4.09,0.63,60.0,22.86,22.86,40.0,40.0
XGBModel_lags3_lags_past_covariates4_output_chunk_length1.csv,4.24,0.69,57.14,25.71,22.86,34.29,34.29
XGBModel_lags3_lags_past_covariates8_output_chunk_length1.csv,3.85,0.64,62.86,31.43,28.57,34.29,34.29
XGBModel_lags4_lags_past_covariates12_output_chunk_length1.csv,3.62,0.64,65.71,40.0,40.0,28.57,28.57
XGBModel_lags4_lags_past_covariates16_output_chunk_length1.csv,3.7,0.64,62.86,31.43,31.43,34.29,34.29
XGBModel_lags4_lags_past_covariates1_output_chunk_length1.csv,4.56,0.7,54.29,22.86,20.0,34.29,34.29
XGBModel_lags4_lags_past_covariates20_output_chunk_length1.csv,3.85,0.68,71.43,34.29,31.43,40.0,40.0
XGBModel_lags4_lags_past_covariates24_output_chunk_length1.csv,3.54,0.61,68.57,34.29,31.43,37.14,37.14
XGBModel_lags4_lags_past_covariates2_output_chunk_length1.csv,3.97,0.66,62.86,28.57,25.71,37.14,37.14
XGBModel_lags4_lags_past_covariates3_output_chunk_length1.csv,4.57,0.7,45.71,14.29,11.43,34.29,34.29
XGBModel_lags4_lags_past_covariates4_output_chunk_length1.csv,4.36,0.7,57.14,25.71,22.86,34.29,34.29
XGBModel_lags4_lags_past_covariates8_output_chunk_length1.csv,3.87,0.64,62.86,31.43,28.57,34.29,34.29
XGBModel_lags8_lags_past_covariates12_output_chunk_length1.csv,3.67,0.64,60.0,37.14,37.14,25.71,25.71
XGBModel_lags8_lags_past_covariates16_output_chunk_length1.csv,3.45,0.62,62.86,34.29,31.43,31.43,31.43
XGBModel_lags8_lags_past_covariates1_output_chunk_length1.csv,4.66,0.78,51.43,25.71,22.86,28.57,28.57
XGBModel_lags8_lags_past_covariates20_output_chunk_length1.csv,3.58,0.63,71.43,37.14,34.29,37.14,37.14
XGBModel_lags8_lags_past_covariates24_output_chunk_length1.csv,3.5,0.6,71.43,40.0,37.14,34.29,34.29
XGBModel_lags8_lags_past_covariates2_output_chunk_length1.csv,4.97,0.76,40.0,17.14,17.14,22.86,22.86
XGBModel_lags8_lags_past_covariates3_output_chunk_length1.csv,4.27,0.67,60.0,25.71,25.71,34.29,34.29
XGBModel_lags8_lags_past_covariates4_output_chunk_length1.csv,4.03,0.63,57.14,31.43,31.43,31.43,28.57
XGBModel_lags8_lags_past_covariates8_output_chunk_length1.csv,3.88,0.64,62.86,31.43,28.57,34.29,34.29
