Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,11.03
1,2022-01-04,14,2022-01-13,10.46
2,2022-01-13,14,2022-01-24,11.39
3,2022-01-24,14,2022-02-02,10.63
4,2022-02-02,14,2022-02-11,10.98
5,2022-02-11,14,2022-02-23,11.03
6,2022-02-23,14,2022-03-04,10.75
7,2022-03-04,14,2022-03-15,10.66
8,2022-03-15,14,2022-03-24,10.91
9,2022-03-24,14,2022-04-04,10.88
10,2022-04-04,14,2022-04-19,10.72
11,2022-04-19,14,2022-04-28,11.33
12,2022-04-28,14,2022-05-11,12.61
13,2022-05-11,14,2022-05-23,11.37
14,2022-05-23,14,2022-06-01,11.49
15,2022-06-01,14,2022-06-13,12.57
16,2022-06-13,14,2022-06-22,12.26
17,2022-06-22,14,2022-07-01,12.36
18,2022-07-01,14,2022-07-12,12.56
19,2022-07-12,14,2022-07-22,12.69
20,2022-07-22,14,2022-08-04,12.6
21,2022-08-04,14,2022-08-16,12.38
22,2022-08-16,14,2022-08-25,13.12
23,2022-08-25,14,2022-09-05,13.24
24,2022-09-05,14,2022-09-14,13.89
25,2022-09-14,14,2022-09-23,12.49
26,2022-09-23,14,2022-10-04,13.25
27,2022-10-04,14,2022-10-17,12.97
28,2022-10-17,14,2022-10-27,12.88
29,2022-10-27,14,2022-11-07,12.89
30,2022-11-07,14,2022-11-16,12.41
31,2022-11-16,14,2022-11-25,12.7
32,2022-11-25,14,2022-12-07,12.86
33,2022-12-07,14,2022-12-19,13.22
34,2022-12-19,14,2022-12-28,13.52
