Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,9.99
1,2022-01-04,14,2022-01-13,11.22
2,2022-01-13,14,2022-01-24,11.13
3,2022-01-24,14,2022-02-02,10.07
4,2022-02-02,14,2022-02-11,11.02
5,2022-02-11,14,2022-02-23,11.97
6,2022-02-23,14,2022-03-04,11.58
7,2022-03-04,14,2022-03-15,11.46
8,2022-03-15,14,2022-03-24,10.52
9,2022-03-24,14,2022-04-04,12.27
10,2022-04-04,14,2022-04-19,10.97
11,2022-04-19,14,2022-04-28,12.44
12,2022-04-28,14,2022-05-11,12.71
13,2022-05-11,14,2022-05-23,11.22
14,2022-05-23,14,2022-06-01,12.04
15,2022-06-01,14,2022-06-13,12.33
16,2022-06-13,14,2022-06-22,13.88
17,2022-06-22,14,2022-07-01,12.2
18,2022-07-01,14,2022-07-12,11.7
19,2022-07-12,14,2022-07-22,12.17
20,2022-07-22,14,2022-08-04,12.76
21,2022-08-04,14,2022-08-16,12.76
22,2022-08-16,14,2022-08-25,13.19
23,2022-08-25,14,2022-09-05,14.19
24,2022-09-05,14,2022-09-14,14.6
25,2022-09-14,14,2022-09-23,14.26
26,2022-09-23,14,2022-10-04,13.3
27,2022-10-04,14,2022-10-17,12.98
28,2022-10-17,14,2022-10-27,13.91
29,2022-10-27,14,2022-11-07,12.65
30,2022-11-07,14,2022-11-16,12.76
31,2022-11-16,14,2022-11-25,12.83
32,2022-11-25,14,2022-12-07,13.81
33,2022-12-07,14,2022-12-19,12.87
34,2022-12-19,14,2022-12-28,13.58
