Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.93
1,2022-01-04,14,2022-01-13,10.96
2,2022-01-13,14,2022-01-24,10.89
3,2022-01-24,14,2022-02-02,10.81
4,2022-02-02,14,2022-02-11,10.79
5,2022-02-11,14,2022-02-23,10.83
6,2022-02-23,14,2022-03-04,10.87
7,2022-03-04,14,2022-03-15,11.44
8,2022-03-15,14,2022-03-24,11.0
9,2022-03-24,14,2022-04-04,10.87
10,2022-04-04,14,2022-04-19,10.95
11,2022-04-19,14,2022-04-28,10.87
12,2022-04-28,14,2022-05-11,11.72
13,2022-05-11,14,2022-05-23,11.83
14,2022-05-23,14,2022-06-01,11.43
15,2022-06-01,14,2022-06-13,12.59
16,2022-06-13,14,2022-06-22,12.5
17,2022-06-22,14,2022-07-01,12.65
18,2022-07-01,14,2022-07-12,12.38
19,2022-07-12,14,2022-07-22,12.81
20,2022-07-22,14,2022-08-04,12.75
21,2022-08-04,14,2022-08-16,12.59
22,2022-08-16,14,2022-08-25,12.9
23,2022-08-25,14,2022-09-05,13.34
24,2022-09-05,14,2022-09-14,13.57
25,2022-09-14,14,2022-09-23,13.84
26,2022-09-23,14,2022-10-04,13.3
27,2022-10-04,14,2022-10-17,13.01
28,2022-10-17,14,2022-10-27,13.1
29,2022-10-27,14,2022-11-07,13.1
30,2022-11-07,14,2022-11-16,12.98
31,2022-11-16,14,2022-11-25,12.68
32,2022-11-25,14,2022-12-07,12.79
33,2022-12-07,14,2022-12-19,12.84
34,2022-12-19,14,2022-12-28,12.94
