Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,-160890.59
1,2022-01-04,14,2022-01-13,24101.95
2,2022-01-13,14,2022-01-24,-16983.92
3,2022-01-24,14,2022-02-02,-13493.23
4,2022-02-02,14,2022-02-11,-15091.25
5,2022-02-11,14,2022-02-23,19440.3
6,2022-02-23,14,2022-03-04,29393.85
7,2022-03-04,14,2022-03-15,8564.3
8,2022-03-15,14,2022-03-24,-9380.23
9,2022-03-24,14,2022-04-04,-2314.84
10,2022-04-04,14,2022-04-19,5282.12
11,2022-04-19,14,2022-04-28,-3846.42
12,2022-04-28,14,2022-05-11,-18725.73
13,2022-05-11,14,2022-05-23,-1346.61
14,2022-05-23,14,2022-06-01,-3833.36
15,2022-06-01,14,2022-06-13,3570.69
16,2022-06-13,14,2022-06-22,1893.15
17,2022-06-22,14,2022-07-01,2263.71
18,2022-07-01,14,2022-07-12,-4033.22
19,2022-07-12,14,2022-07-22,-1384.8
20,2022-07-22,14,2022-08-04,298.69
21,2022-08-04,14,2022-08-16,2757.36
22,2022-08-16,14,2022-08-25,-56.39
23,2022-08-25,14,2022-09-05,-830.27
24,2022-09-05,14,2022-09-14,-1386.26
25,2022-09-14,14,2022-09-23,-579.99
26,2022-09-23,14,2022-10-04,1329.64
27,2022-10-04,14,2022-10-17,13.42
28,2022-10-17,14,2022-10-27,85.93
29,2022-10-27,14,2022-11-07,-449.4
30,2022-11-07,14,2022-11-16,-53.31
31,2022-11-16,14,2022-11-25,-1399.49
32,2022-11-25,14,2022-12-07,-282.64
33,2022-12-07,14,2022-12-19,242.61
34,2022-12-19,14,2022-12-28,-597.0
