Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,11.52
1,2022-01-04,14,2022-01-13,11.51
2,2022-01-13,14,2022-01-24,11.72
3,2022-01-24,14,2022-02-02,10.73
4,2022-02-02,14,2022-02-11,11.78
5,2022-02-11,14,2022-02-23,11.98
6,2022-02-23,14,2022-03-04,11.38
7,2022-03-04,14,2022-03-15,10.61
8,2022-03-15,14,2022-03-24,10.01
9,2022-03-24,14,2022-04-04,12.36
10,2022-04-04,14,2022-04-19,10.67
11,2022-04-19,14,2022-04-28,11.52
12,2022-04-28,14,2022-05-11,12.67
13,2022-05-11,14,2022-05-23,9.26
14,2022-05-23,14,2022-06-01,11.56
15,2022-06-01,14,2022-06-13,12.92
16,2022-06-13,14,2022-06-22,12.67
17,2022-06-22,14,2022-07-01,11.89
18,2022-07-01,14,2022-07-12,13.12
19,2022-07-12,14,2022-07-22,12.08
20,2022-07-22,14,2022-08-04,12.84
21,2022-08-04,14,2022-08-16,12.31
22,2022-08-16,14,2022-08-25,13.57
23,2022-08-25,14,2022-09-05,14.55
24,2022-09-05,14,2022-09-14,13.84
25,2022-09-14,14,2022-09-23,13.97
26,2022-09-23,14,2022-10-04,13.68
27,2022-10-04,14,2022-10-17,13.19
28,2022-10-17,14,2022-10-27,13.1
29,2022-10-27,14,2022-11-07,12.05
30,2022-11-07,14,2022-11-16,13.41
31,2022-11-16,14,2022-11-25,12.82
32,2022-11-25,14,2022-12-07,13.14
33,2022-12-07,14,2022-12-19,13.09
34,2022-12-19,14,2022-12-28,14.19
