Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,9.47
1,2022-01-04,14,2022-01-13,10.63
2,2022-01-13,14,2022-01-24,10.18
3,2022-01-24,14,2022-02-02,10.25
4,2022-02-02,14,2022-02-11,11.58
5,2022-02-11,14,2022-02-23,12.26
6,2022-02-23,14,2022-03-04,11.73
7,2022-03-04,14,2022-03-15,10.17
8,2022-03-15,14,2022-03-24,10.83
9,2022-03-24,14,2022-04-04,13.06
10,2022-04-04,14,2022-04-19,10.44
11,2022-04-19,14,2022-04-28,12.33
12,2022-04-28,14,2022-05-11,13.05
13,2022-05-11,14,2022-05-23,10.39
14,2022-05-23,14,2022-06-01,12.93
15,2022-06-01,14,2022-06-13,13.5
16,2022-06-13,14,2022-06-22,13.54
17,2022-06-22,14,2022-07-01,12.11
18,2022-07-01,14,2022-07-12,12.38
19,2022-07-12,14,2022-07-22,12.89
20,2022-07-22,14,2022-08-04,13.28
21,2022-08-04,14,2022-08-16,12.13
22,2022-08-16,14,2022-08-25,13.38
23,2022-08-25,14,2022-09-05,15.68
24,2022-09-05,14,2022-09-14,14.62
25,2022-09-14,14,2022-09-23,14.26
26,2022-09-23,14,2022-10-04,12.36
27,2022-10-04,14,2022-10-17,12.67
28,2022-10-17,14,2022-10-27,12.73
29,2022-10-27,14,2022-11-07,12.47
30,2022-11-07,14,2022-11-16,13.34
31,2022-11-16,14,2022-11-25,12.56
32,2022-11-25,14,2022-12-07,13.03
33,2022-12-07,14,2022-12-19,12.13
34,2022-12-19,14,2022-12-28,14.41
