Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,143.93
1,2022-01-04,16,2022-01-13,137.25
2,2022-01-13,16,2022-01-24,130.9
3,2022-01-24,16,2022-02-02,140.53
4,2022-02-02,16,2022-02-11,145.19
5,2022-02-11,16,2022-02-23,146.12
6,2022-02-23,16,2022-03-04,152.75
7,2022-03-04,16,2022-03-15,174.63
8,2022-03-15,16,2022-03-24,166.22
9,2022-03-24,16,2022-04-04,150.89
10,2022-04-04,16,2022-04-19,165.3
11,2022-04-19,16,2022-04-28,160.4
12,2022-04-28,16,2022-05-11,163.14
13,2022-05-11,16,2022-05-23,163.28
14,2022-05-23,16,2022-06-01,176.74
15,2022-06-01,16,2022-06-13,173.23
16,2022-06-13,16,2022-06-22,168.59
17,2022-06-22,16,2022-07-01,173.53
18,2022-07-01,16,2022-07-12,176.22
19,2022-07-12,16,2022-07-22,189.36
20,2022-07-22,16,2022-08-04,173.1
21,2022-08-04,16,2022-08-16,181.26
22,2022-08-16,16,2022-08-25,200.37
23,2022-08-25,16,2022-09-05,218.82
24,2022-09-05,16,2022-09-14,219.01
25,2022-09-14,16,2022-09-23,228.08
26,2022-09-23,16,2022-10-04,232.09
27,2022-10-04,16,2022-10-17,220.29
28,2022-10-17,16,2022-10-27,235.62
29,2022-10-27,16,2022-11-07,231.17
30,2022-11-07,16,2022-11-16,216.72
31,2022-11-16,16,2022-11-25,234.36
32,2022-11-25,16,2022-12-07,221.82
33,2022-12-07,16,2022-12-19,209.51
34,2022-12-19,16,2022-12-28,221.9
