Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,144.52
1,2022-01-04,16,2022-01-13,146.09
2,2022-01-13,16,2022-01-24,172.84
3,2022-01-24,16,2022-02-02,143.75
4,2022-02-02,16,2022-02-11,131.8
5,2022-02-11,16,2022-02-23,126.52
6,2022-02-23,16,2022-03-04,143.85
7,2022-03-04,16,2022-03-15,192.94
8,2022-03-15,16,2022-03-24,181.6
9,2022-03-24,16,2022-04-04,202.14
10,2022-04-04,16,2022-04-19,120.64
11,2022-04-19,16,2022-04-28,133.75
12,2022-04-28,16,2022-05-11,186.41
13,2022-05-11,16,2022-05-23,183.53
14,2022-05-23,16,2022-06-01,191.82
15,2022-06-01,16,2022-06-13,156.9
16,2022-06-13,16,2022-06-22,170.75
17,2022-06-22,16,2022-07-01,156.99
18,2022-07-01,16,2022-07-12,185.59
19,2022-07-12,16,2022-07-22,188.41
20,2022-07-22,16,2022-08-04,196.05
21,2022-08-04,16,2022-08-16,165.48
22,2022-08-16,16,2022-08-25,168.9
23,2022-08-25,16,2022-09-05,229.27
24,2022-09-05,16,2022-09-14,218.77
25,2022-09-14,16,2022-09-23,221.87
26,2022-09-23,16,2022-10-04,233.85
27,2022-10-04,16,2022-10-17,244.47
28,2022-10-17,16,2022-10-27,239.68
29,2022-10-27,16,2022-11-07,220.31
30,2022-11-07,16,2022-11-16,189.59
31,2022-11-16,16,2022-11-25,236.32
32,2022-11-25,16,2022-12-07,149.29
33,2022-12-07,16,2022-12-19,209.06
34,2022-12-19,16,2022-12-28,197.05
