Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,178.3
1,2022-01-04,16,2022-01-13,156.36
2,2022-01-13,16,2022-01-24,151.96
3,2022-01-24,16,2022-02-02,156.47
4,2022-02-02,16,2022-02-11,150.74
5,2022-02-11,16,2022-02-23,147.71
6,2022-02-23,16,2022-03-04,152.41
7,2022-03-04,16,2022-03-15,152.6
8,2022-03-15,16,2022-03-24,148.07
9,2022-03-24,16,2022-04-04,151.55
10,2022-04-04,16,2022-04-19,150.03
11,2022-04-19,16,2022-04-28,149.52
12,2022-04-28,16,2022-05-11,148.52
13,2022-05-11,16,2022-05-23,152.14
14,2022-05-23,16,2022-06-01,152.31
15,2022-06-01,16,2022-06-13,153.44
16,2022-06-13,16,2022-06-22,148.35
17,2022-06-22,16,2022-07-01,150.16
18,2022-07-01,16,2022-07-12,154.34
19,2022-07-12,16,2022-07-22,149.92
20,2022-07-22,16,2022-08-04,151.09
21,2022-08-04,16,2022-08-16,148.08
22,2022-08-16,16,2022-08-25,155.63
23,2022-08-25,16,2022-09-05,153.46
24,2022-09-05,16,2022-09-14,158.15
25,2022-09-14,16,2022-09-23,152.99
26,2022-09-23,16,2022-10-04,148.88
27,2022-10-04,16,2022-10-17,158.51
28,2022-10-17,16,2022-10-27,160.53
29,2022-10-27,16,2022-11-07,151.31
30,2022-11-07,16,2022-11-16,152.83
31,2022-11-16,16,2022-11-25,156.45
32,2022-11-25,16,2022-12-07,154.12
33,2022-12-07,16,2022-12-19,155.35
34,2022-12-19,16,2022-12-28,157.93
