Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,137.12
1,2022-01-04,16,2022-01-13,120.94
2,2022-01-13,16,2022-01-24,124.75
3,2022-01-24,16,2022-02-02,127.47
4,2022-02-02,16,2022-02-11,148.45
5,2022-02-11,16,2022-02-23,159.34
6,2022-02-23,16,2022-03-04,142.26
7,2022-03-04,16,2022-03-15,169.4
8,2022-03-15,16,2022-03-24,160.63
9,2022-03-24,16,2022-04-04,119.55
10,2022-04-04,16,2022-04-19,136.9
11,2022-04-19,16,2022-04-28,154.21
12,2022-04-28,16,2022-05-11,150.36
13,2022-05-11,16,2022-05-23,169.34
14,2022-05-23,16,2022-06-01,184.71
15,2022-06-01,16,2022-06-13,178.45
16,2022-06-13,16,2022-06-22,201.47
17,2022-06-22,16,2022-07-01,158.65
18,2022-07-01,16,2022-07-12,154.58
19,2022-07-12,16,2022-07-22,186.13
20,2022-07-22,16,2022-08-04,193.63
21,2022-08-04,16,2022-08-16,170.63
22,2022-08-16,16,2022-08-25,232.29
23,2022-08-25,16,2022-09-05,182.19
24,2022-09-05,16,2022-09-14,208.18
25,2022-09-14,16,2022-09-23,227.38
26,2022-09-23,16,2022-10-04,195.87
27,2022-10-04,16,2022-10-17,240.03
28,2022-10-17,16,2022-10-27,257.6
29,2022-10-27,16,2022-11-07,225.92
30,2022-11-07,16,2022-11-16,213.01
31,2022-11-16,16,2022-11-25,205.93
32,2022-11-25,16,2022-12-07,195.63
33,2022-12-07,16,2022-12-19,210.96
34,2022-12-19,16,2022-12-28,181.62
