Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,139.73
1,2022-01-04,16,2022-01-13,134.96
2,2022-01-13,16,2022-01-24,136.73
3,2022-01-24,16,2022-02-02,139.12
4,2022-02-02,16,2022-02-11,138.7
5,2022-02-11,16,2022-02-23,145.78
6,2022-02-23,16,2022-03-04,143.76
7,2022-03-04,16,2022-03-15,158.3
8,2022-03-15,16,2022-03-24,167.66
9,2022-03-24,16,2022-04-04,148.67
10,2022-04-04,16,2022-04-19,150.21
11,2022-04-19,16,2022-04-28,160.94
12,2022-04-28,16,2022-05-11,157.6
13,2022-05-11,16,2022-05-23,157.67
14,2022-05-23,16,2022-06-01,167.35
15,2022-06-01,16,2022-06-13,173.0
16,2022-06-13,16,2022-06-22,167.55
17,2022-06-22,16,2022-07-01,171.3
18,2022-07-01,16,2022-07-12,185.24
19,2022-07-12,16,2022-07-22,187.7
20,2022-07-22,16,2022-08-04,182.94
21,2022-08-04,16,2022-08-16,180.93
22,2022-08-16,16,2022-08-25,187.49
23,2022-08-25,16,2022-09-05,212.29
24,2022-09-05,16,2022-09-14,195.47
25,2022-09-14,16,2022-09-23,214.39
26,2022-09-23,16,2022-10-04,216.73
27,2022-10-04,16,2022-10-17,223.73
28,2022-10-17,16,2022-10-27,234.94
29,2022-10-27,16,2022-11-07,226.79
30,2022-11-07,16,2022-11-16,221.36
31,2022-11-16,16,2022-11-25,227.63
32,2022-11-25,16,2022-12-07,220.64
33,2022-12-07,16,2022-12-19,219.4
34,2022-12-19,16,2022-12-28,212.87
