Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,139.84
1,2022-01-04,16,2022-01-13,133.55
2,2022-01-13,16,2022-01-24,135.63
3,2022-01-24,16,2022-02-02,135.82
4,2022-02-02,16,2022-02-11,148.41
5,2022-02-11,16,2022-02-23,148.41
6,2022-02-23,16,2022-03-04,148.04
7,2022-03-04,16,2022-03-15,165.48
8,2022-03-15,16,2022-03-24,161.63
9,2022-03-24,16,2022-04-04,154.45
10,2022-04-04,16,2022-04-19,143.39
11,2022-04-19,16,2022-04-28,144.69
12,2022-04-28,16,2022-05-11,154.52
13,2022-05-11,16,2022-05-23,153.87
14,2022-05-23,16,2022-06-01,161.31
15,2022-06-01,16,2022-06-13,170.22
16,2022-06-13,16,2022-06-22,164.81
17,2022-06-22,16,2022-07-01,178.13
18,2022-07-01,16,2022-07-12,192.3
19,2022-07-12,16,2022-07-22,197.3
20,2022-07-22,16,2022-08-04,183.8
21,2022-08-04,16,2022-08-16,185.7
22,2022-08-16,16,2022-08-25,216.41
23,2022-08-25,16,2022-09-05,223.81
24,2022-09-05,16,2022-09-14,218.17
25,2022-09-14,16,2022-09-23,229.63
26,2022-09-23,16,2022-10-04,224.73
27,2022-10-04,16,2022-10-17,211.19
28,2022-10-17,16,2022-10-27,216.47
29,2022-10-27,16,2022-11-07,222.42
30,2022-11-07,16,2022-11-16,229.48
31,2022-11-16,16,2022-11-25,222.37
32,2022-11-25,16,2022-12-07,207.22
33,2022-12-07,16,2022-12-19,209.0
34,2022-12-19,16,2022-12-28,215.73
