Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,141.73
1,2022-01-04,16,2022-01-13,142.45
2,2022-01-13,16,2022-01-24,143.2
3,2022-01-24,16,2022-02-02,148.69
4,2022-02-02,16,2022-02-11,146.66
5,2022-02-11,16,2022-02-23,152.29
6,2022-02-23,16,2022-03-04,146.46
7,2022-03-04,16,2022-03-15,151.0
8,2022-03-15,16,2022-03-24,148.2
9,2022-03-24,16,2022-04-04,154.25
10,2022-04-04,16,2022-04-19,151.94
11,2022-04-19,16,2022-04-28,154.81
12,2022-04-28,16,2022-05-11,159.43
13,2022-05-11,16,2022-05-23,161.32
14,2022-05-23,16,2022-06-01,164.78
15,2022-06-01,16,2022-06-13,169.01
16,2022-06-13,16,2022-06-22,167.32
17,2022-06-22,16,2022-07-01,167.93
18,2022-07-01,16,2022-07-12,175.22
19,2022-07-12,16,2022-07-22,180.0
20,2022-07-22,16,2022-08-04,180.47
21,2022-08-04,16,2022-08-16,180.63
22,2022-08-16,16,2022-08-25,183.8
23,2022-08-25,16,2022-09-05,187.97
24,2022-09-05,16,2022-09-14,192.56
25,2022-09-14,16,2022-09-23,203.34
26,2022-09-23,16,2022-10-04,206.64
27,2022-10-04,16,2022-10-17,210.32
28,2022-10-17,16,2022-10-27,207.28
29,2022-10-27,16,2022-11-07,217.25
30,2022-11-07,16,2022-11-16,220.48
31,2022-11-16,16,2022-11-25,221.05
32,2022-11-25,16,2022-12-07,216.38
33,2022-12-07,16,2022-12-19,220.75
34,2022-12-19,16,2022-12-28,220.49
