Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,141.06
1,2022-01-04,16,2022-01-13,132.78
2,2022-01-13,16,2022-01-24,142.46
3,2022-01-24,16,2022-02-02,145.15
4,2022-02-02,16,2022-02-11,138.77
5,2022-02-11,16,2022-02-23,145.8
6,2022-02-23,16,2022-03-04,141.58
7,2022-03-04,16,2022-03-15,152.85
8,2022-03-15,16,2022-03-24,170.1
9,2022-03-24,16,2022-04-04,162.05
10,2022-04-04,16,2022-04-19,154.68
11,2022-04-19,16,2022-04-28,162.32
12,2022-04-28,16,2022-05-11,164.52
13,2022-05-11,16,2022-05-23,164.31
14,2022-05-23,16,2022-06-01,168.37
15,2022-06-01,16,2022-06-13,172.34
16,2022-06-13,16,2022-06-22,171.52
17,2022-06-22,16,2022-07-01,174.6
18,2022-07-01,16,2022-07-12,188.56
19,2022-07-12,16,2022-07-22,187.48
20,2022-07-22,16,2022-08-04,183.79
21,2022-08-04,16,2022-08-16,180.0
22,2022-08-16,16,2022-08-25,189.93
23,2022-08-25,16,2022-09-05,192.06
24,2022-09-05,16,2022-09-14,202.82
25,2022-09-14,16,2022-09-23,210.96
26,2022-09-23,16,2022-10-04,203.79
27,2022-10-04,16,2022-10-17,221.01
28,2022-10-17,16,2022-10-27,231.62
29,2022-10-27,16,2022-11-07,220.86
30,2022-11-07,16,2022-11-16,223.02
31,2022-11-16,16,2022-11-25,213.85
32,2022-11-25,16,2022-12-07,220.2
33,2022-12-07,16,2022-12-19,218.82
34,2022-12-19,16,2022-12-28,216.25
