Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,132.75
1,2022-01-04,16,2022-01-13,135.53
2,2022-01-13,16,2022-01-24,130.74
3,2022-01-24,16,2022-02-02,140.52
4,2022-02-02,16,2022-02-11,148.26
5,2022-02-11,16,2022-02-23,149.57
6,2022-02-23,16,2022-03-04,166.7
7,2022-03-04,16,2022-03-15,183.56
8,2022-03-15,16,2022-03-24,153.54
9,2022-03-24,16,2022-04-04,168.03
10,2022-04-04,16,2022-04-19,145.19
11,2022-04-19,16,2022-04-28,162.37
12,2022-04-28,16,2022-05-11,160.62
13,2022-05-11,16,2022-05-23,168.54
14,2022-05-23,16,2022-06-01,185.15
15,2022-06-01,16,2022-06-13,169.09
16,2022-06-13,16,2022-06-22,171.25
17,2022-06-22,16,2022-07-01,157.28
18,2022-07-01,16,2022-07-12,173.55
19,2022-07-12,16,2022-07-22,180.5
20,2022-07-22,16,2022-08-04,171.34
21,2022-08-04,16,2022-08-16,176.33
22,2022-08-16,16,2022-08-25,195.13
23,2022-08-25,16,2022-09-05,233.83
24,2022-09-05,16,2022-09-14,205.13
25,2022-09-14,16,2022-09-23,238.67
26,2022-09-23,16,2022-10-04,230.62
27,2022-10-04,16,2022-10-17,221.37
28,2022-10-17,16,2022-10-27,229.34
29,2022-10-27,16,2022-11-07,227.09
30,2022-11-07,16,2022-11-16,220.61
31,2022-11-16,16,2022-11-25,228.82
32,2022-11-25,16,2022-12-07,228.89
33,2022-12-07,16,2022-12-19,222.43
34,2022-12-19,16,2022-12-28,212.66
