Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,138.75
1,2022-01-04,16,2022-01-13,141.84
2,2022-01-13,16,2022-01-24,134.34
3,2022-01-24,16,2022-02-02,126.4
4,2022-02-02,16,2022-02-11,145.92
5,2022-02-11,16,2022-02-23,153.73
6,2022-02-23,16,2022-03-04,156.0
7,2022-03-04,16,2022-03-15,195.41
8,2022-03-15,16,2022-03-24,175.08
9,2022-03-24,16,2022-04-04,148.0
10,2022-04-04,16,2022-04-19,165.79
11,2022-04-19,16,2022-04-28,153.52
12,2022-04-28,16,2022-05-11,171.7
13,2022-05-11,16,2022-05-23,172.51
14,2022-05-23,16,2022-06-01,173.01
15,2022-06-01,16,2022-06-13,157.25
16,2022-06-13,16,2022-06-22,170.3
17,2022-06-22,16,2022-07-01,174.24
18,2022-07-01,16,2022-07-12,177.06
19,2022-07-12,16,2022-07-22,193.42
20,2022-07-22,16,2022-08-04,172.41
21,2022-08-04,16,2022-08-16,174.24
22,2022-08-16,16,2022-08-25,188.62
23,2022-08-25,16,2022-09-05,217.47
24,2022-09-05,16,2022-09-14,224.06
25,2022-09-14,16,2022-09-23,211.06
26,2022-09-23,16,2022-10-04,230.7
27,2022-10-04,16,2022-10-17,229.76
28,2022-10-17,16,2022-10-27,238.44
29,2022-10-27,16,2022-11-07,223.35
30,2022-11-07,16,2022-11-16,212.18
31,2022-11-16,16,2022-11-25,218.87
32,2022-11-25,16,2022-12-07,211.81
33,2022-12-07,16,2022-12-19,206.74
34,2022-12-19,16,2022-12-28,211.82
