Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,138.95
1,2022-01-04,16,2022-01-13,140.52
2,2022-01-13,16,2022-01-24,140.65
3,2022-01-24,16,2022-02-02,135.56
4,2022-02-02,16,2022-02-11,148.43
5,2022-02-11,16,2022-02-23,154.45
6,2022-02-23,16,2022-03-04,154.45
7,2022-03-04,16,2022-03-15,166.47
8,2022-03-15,16,2022-03-24,163.15
9,2022-03-24,16,2022-04-04,161.13
10,2022-04-04,16,2022-04-19,151.2
11,2022-04-19,16,2022-04-28,154.53
12,2022-04-28,16,2022-05-11,165.14
13,2022-05-11,16,2022-05-23,165.34
14,2022-05-23,16,2022-06-01,168.12
15,2022-06-01,16,2022-06-13,168.87
16,2022-06-13,16,2022-06-22,175.48
17,2022-06-22,16,2022-07-01,175.15
18,2022-07-01,16,2022-07-12,182.99
19,2022-07-12,16,2022-07-22,191.45
20,2022-07-22,16,2022-08-04,180.33
21,2022-08-04,16,2022-08-16,182.21
22,2022-08-16,16,2022-08-25,205.0
23,2022-08-25,16,2022-09-05,222.5
24,2022-09-05,16,2022-09-14,214.37
25,2022-09-14,16,2022-09-23,219.38
26,2022-09-23,16,2022-10-04,217.61
27,2022-10-04,16,2022-10-17,217.21
28,2022-10-17,16,2022-10-27,217.87
29,2022-10-27,16,2022-11-07,226.68
30,2022-11-07,16,2022-11-16,238.47
31,2022-11-16,16,2022-11-25,226.91
32,2022-11-25,16,2022-12-07,205.7
33,2022-12-07,16,2022-12-19,211.8
34,2022-12-19,16,2022-12-28,222.16
