Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,140.27
1,2022-01-04,16,2022-01-13,141.11
2,2022-01-13,16,2022-01-24,139.3
3,2022-01-24,16,2022-02-02,139.52
4,2022-02-02,16,2022-02-11,140.76
5,2022-02-11,16,2022-02-23,142.63
6,2022-02-23,16,2022-03-04,143.59
7,2022-03-04,16,2022-03-15,157.99
8,2022-03-15,16,2022-03-24,164.83
9,2022-03-24,16,2022-04-04,162.88
10,2022-04-04,16,2022-04-19,157.97
11,2022-04-19,16,2022-04-28,163.19
12,2022-04-28,16,2022-05-11,164.09
13,2022-05-11,16,2022-05-23,165.41
14,2022-05-23,16,2022-06-01,166.18
15,2022-06-01,16,2022-06-13,169.43
16,2022-06-13,16,2022-06-22,166.03
17,2022-06-22,16,2022-07-01,167.47
18,2022-07-01,16,2022-07-12,173.03
19,2022-07-12,16,2022-07-22,181.48
20,2022-07-22,16,2022-08-04,179.68
21,2022-08-04,16,2022-08-16,181.71
22,2022-08-16,16,2022-08-25,185.17
23,2022-08-25,16,2022-09-05,187.98
24,2022-09-05,16,2022-09-14,189.53
25,2022-09-14,16,2022-09-23,199.14
26,2022-09-23,16,2022-10-04,202.61
27,2022-10-04,16,2022-10-17,210.34
28,2022-10-17,16,2022-10-27,219.85
29,2022-10-27,16,2022-11-07,222.17
30,2022-11-07,16,2022-11-16,221.69
31,2022-11-16,16,2022-11-25,223.24
32,2022-11-25,16,2022-12-07,224.51
33,2022-12-07,16,2022-12-19,224.52
34,2022-12-19,16,2022-12-28,221.87
