Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,145.49
1,2022-01-04,16,2022-01-13,139.0
2,2022-01-13,16,2022-01-24,140.12
3,2022-01-24,16,2022-02-02,141.24
4,2022-02-02,16,2022-02-11,139.36
5,2022-02-11,16,2022-02-23,141.42
6,2022-02-23,16,2022-03-04,143.12
7,2022-03-04,16,2022-03-15,163.22
8,2022-03-15,16,2022-03-24,167.47
9,2022-03-24,16,2022-04-04,161.72
10,2022-04-04,16,2022-04-19,153.15
11,2022-04-19,16,2022-04-28,161.54
12,2022-04-28,16,2022-05-11,157.89
13,2022-05-11,16,2022-05-23,162.13
14,2022-05-23,16,2022-06-01,163.15
15,2022-06-01,16,2022-06-13,167.69
16,2022-06-13,16,2022-06-22,173.34
17,2022-06-22,16,2022-07-01,161.91
18,2022-07-01,16,2022-07-12,178.08
19,2022-07-12,16,2022-07-22,184.56
20,2022-07-22,16,2022-08-04,186.4
21,2022-08-04,16,2022-08-16,182.38
22,2022-08-16,16,2022-08-25,186.91
23,2022-08-25,16,2022-09-05,205.88
24,2022-09-05,16,2022-09-14,195.22
25,2022-09-14,16,2022-09-23,215.21
26,2022-09-23,16,2022-10-04,215.83
27,2022-10-04,16,2022-10-17,228.32
28,2022-10-17,16,2022-10-27,233.86
29,2022-10-27,16,2022-11-07,228.06
30,2022-11-07,16,2022-11-16,231.54
31,2022-11-16,16,2022-11-25,222.26
32,2022-11-25,16,2022-12-07,218.88
33,2022-12-07,16,2022-12-19,222.74
34,2022-12-19,16,2022-12-28,215.04
