Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,136.93
1,2022-01-04,16,2022-01-13,136.65
2,2022-01-13,16,2022-01-24,134.6
3,2022-01-24,16,2022-02-02,133.44
4,2022-02-02,16,2022-02-11,155.08
5,2022-02-11,16,2022-02-23,150.24
6,2022-02-23,16,2022-03-04,158.63
7,2022-03-04,16,2022-03-15,178.31
8,2022-03-15,16,2022-03-24,157.88
9,2022-03-24,16,2022-04-04,154.95
10,2022-04-04,16,2022-04-19,147.36
11,2022-04-19,16,2022-04-28,161.06
12,2022-04-28,16,2022-05-11,161.09
13,2022-05-11,16,2022-05-23,182.11
14,2022-05-23,16,2022-06-01,184.05
15,2022-06-01,16,2022-06-13,179.55
16,2022-06-13,16,2022-06-22,165.6
17,2022-06-22,16,2022-07-01,168.29
18,2022-07-01,16,2022-07-12,181.55
19,2022-07-12,16,2022-07-22,190.39
20,2022-07-22,16,2022-08-04,179.45
21,2022-08-04,16,2022-08-16,181.11
22,2022-08-16,16,2022-08-25,192.39
23,2022-08-25,16,2022-09-05,227.36
24,2022-09-05,16,2022-09-14,210.8
25,2022-09-14,16,2022-09-23,218.22
26,2022-09-23,16,2022-10-04,224.03
27,2022-10-04,16,2022-10-17,238.83
28,2022-10-17,16,2022-10-27,229.07
29,2022-10-27,16,2022-11-07,228.32
30,2022-11-07,16,2022-11-16,218.25
31,2022-11-16,16,2022-11-25,233.89
32,2022-11-25,16,2022-12-07,216.41
33,2022-12-07,16,2022-12-19,217.64
34,2022-12-19,16,2022-12-28,212.49
