Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,142.88
1,2022-01-04,16,2022-01-13,140.9
2,2022-01-13,16,2022-01-24,135.06
3,2022-01-24,16,2022-02-02,138.3
4,2022-02-02,16,2022-02-11,148.05
5,2022-02-11,16,2022-02-23,154.25
6,2022-02-23,16,2022-03-04,143.16
7,2022-03-04,16,2022-03-15,179.15
8,2022-03-15,16,2022-03-24,176.48
9,2022-03-24,16,2022-04-04,162.57
10,2022-04-04,16,2022-04-19,154.69
11,2022-04-19,16,2022-04-28,152.58
12,2022-04-28,16,2022-05-11,164.36
13,2022-05-11,16,2022-05-23,166.45
14,2022-05-23,16,2022-06-01,160.64
15,2022-06-01,16,2022-06-13,173.47
16,2022-06-13,16,2022-06-22,168.19
17,2022-06-22,16,2022-07-01,170.07
18,2022-07-01,16,2022-07-12,182.22
19,2022-07-12,16,2022-07-22,193.9
20,2022-07-22,16,2022-08-04,174.78
21,2022-08-04,16,2022-08-16,180.17
22,2022-08-16,16,2022-08-25,183.52
23,2022-08-25,16,2022-09-05,219.5
24,2022-09-05,16,2022-09-14,190.74
25,2022-09-14,16,2022-09-23,217.76
26,2022-09-23,16,2022-10-04,228.52
27,2022-10-04,16,2022-10-17,224.66
28,2022-10-17,16,2022-10-27,232.28
29,2022-10-27,16,2022-11-07,225.84
30,2022-11-07,16,2022-11-16,213.47
31,2022-11-16,16,2022-11-25,224.28
32,2022-11-25,16,2022-12-07,213.78
33,2022-12-07,16,2022-12-19,211.68
34,2022-12-19,16,2022-12-28,222.52
