Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,17,2022-01-04,10.39
1,2022-01-04,17,2022-01-13,10.32
2,2022-01-13,17,2022-01-24,10.07
3,2022-01-24,17,2022-02-02,10.39
4,2022-02-02,17,2022-02-11,10.49
5,2022-02-11,17,2022-02-23,10.43
6,2022-02-23,17,2022-03-04,10.12
7,2022-03-04,17,2022-03-15,10.63
8,2022-03-15,17,2022-03-24,10.2
9,2022-03-24,17,2022-04-04,10.52
10,2022-04-04,17,2022-04-19,10.1
11,2022-04-19,17,2022-04-28,10.48
12,2022-04-28,17,2022-05-11,10.4
13,2022-05-11,17,2022-05-23,10.38
14,2022-05-23,17,2022-06-01,10.18
15,2022-06-01,17,2022-06-13,10.43
16,2022-06-13,17,2022-06-22,10.8
17,2022-06-22,17,2022-07-01,9.85
18,2022-07-01,17,2022-07-12,9.77
19,2022-07-12,17,2022-07-22,9.36
20,2022-07-22,17,2022-08-04,10.37
21,2022-08-04,17,2022-08-16,10.46
22,2022-08-16,17,2022-08-25,9.66
23,2022-08-25,17,2022-09-05,10.73
24,2022-09-05,17,2022-09-14,9.61
25,2022-09-14,17,2022-09-23,10.57
26,2022-09-23,17,2022-10-04,10.38
27,2022-10-04,17,2022-10-17,10.51
28,2022-10-17,17,2022-10-27,10.28
29,2022-10-27,17,2022-11-07,10.37
30,2022-11-07,17,2022-11-16,9.56
31,2022-11-16,17,2022-11-25,8.86
32,2022-11-25,17,2022-12-07,9.14
33,2022-12-07,17,2022-12-19,9.27
34,2022-12-19,17,2022-12-28,10.4
