Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,17,2022-01-04,10.28
1,2022-01-04,17,2022-01-13,10.3
2,2022-01-13,17,2022-01-24,10.28
3,2022-01-24,17,2022-02-02,10.44
4,2022-02-02,17,2022-02-11,10.44
5,2022-02-11,17,2022-02-23,10.26
6,2022-02-23,17,2022-03-04,10.35
7,2022-03-04,17,2022-03-15,10.31
8,2022-03-15,17,2022-03-24,10.3
9,2022-03-24,17,2022-04-04,10.61
10,2022-04-04,17,2022-04-19,9.81
11,2022-04-19,17,2022-04-28,10.44
12,2022-04-28,17,2022-05-11,10.72
13,2022-05-11,17,2022-05-23,10.71
14,2022-05-23,17,2022-06-01,10.33
15,2022-06-01,17,2022-06-13,10.64
16,2022-06-13,17,2022-06-22,10.62
17,2022-06-22,17,2022-07-01,9.56
18,2022-07-01,17,2022-07-12,9.8
19,2022-07-12,17,2022-07-22,9.77
20,2022-07-22,17,2022-08-04,10.58
21,2022-08-04,17,2022-08-16,9.77
22,2022-08-16,17,2022-08-25,9.31
23,2022-08-25,17,2022-09-05,9.79
24,2022-09-05,17,2022-09-14,10.39
25,2022-09-14,17,2022-09-23,10.65
26,2022-09-23,17,2022-10-04,10.53
27,2022-10-04,17,2022-10-17,9.99
28,2022-10-17,17,2022-10-27,10.2
29,2022-10-27,17,2022-11-07,9.21
30,2022-11-07,17,2022-11-16,8.64
31,2022-11-16,17,2022-11-25,9.23
32,2022-11-25,17,2022-12-07,9.32
33,2022-12-07,17,2022-12-19,9.9
34,2022-12-19,17,2022-12-28,10.11
