Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,111.31
1,2022-01-04,2,2022-01-13,127.61
2,2022-01-13,2,2022-01-24,119.33
3,2022-01-24,2,2022-02-02,103.9
4,2022-02-02,2,2022-02-11,100.1
5,2022-02-11,2,2022-02-23,103.28
6,2022-02-23,2,2022-03-04,101.13
7,2022-03-04,2,2022-03-15,104.08
8,2022-03-15,2,2022-03-24,101.36
9,2022-03-24,2,2022-04-04,101.92
10,2022-04-04,2,2022-04-19,112.19
11,2022-04-19,2,2022-04-28,103.1
12,2022-04-28,2,2022-05-11,114.79
13,2022-05-11,2,2022-05-23,104.93
14,2022-05-23,2,2022-06-01,107.7
15,2022-06-01,2,2022-06-13,108.06
16,2022-06-13,2,2022-06-22,99.11
17,2022-06-22,2,2022-07-01,99.96
18,2022-07-01,2,2022-07-12,108.5
19,2022-07-12,2,2022-07-22,112.68
20,2022-07-22,2,2022-08-04,104.16
21,2022-08-04,2,2022-08-16,109.27
22,2022-08-16,2,2022-08-25,105.09
23,2022-08-25,2,2022-09-05,107.44
24,2022-09-05,2,2022-09-14,95.36
25,2022-09-14,2,2022-09-23,102.82
26,2022-09-23,2,2022-10-04,90.44
27,2022-10-04,2,2022-10-17,82.01
28,2022-10-17,2,2022-10-27,90.08
29,2022-10-27,2,2022-11-07,99.48
30,2022-11-07,2,2022-11-16,92.32
31,2022-11-16,2,2022-11-25,92.83
32,2022-11-25,2,2022-12-07,96.11
33,2022-12-07,2,2022-12-19,89.65
34,2022-12-19,2,2022-12-28,101.62
