Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,122.33
1,2022-01-04,2,2022-01-13,122.65
2,2022-01-13,2,2022-01-24,120.03
3,2022-01-24,2,2022-02-02,117.94
4,2022-02-02,2,2022-02-11,108.42
5,2022-02-11,2,2022-02-23,116.6
6,2022-02-23,2,2022-03-04,108.03
7,2022-03-04,2,2022-03-15,106.07
8,2022-03-15,2,2022-03-24,103.67
9,2022-03-24,2,2022-04-04,104.22
10,2022-04-04,2,2022-04-19,105.8
11,2022-04-19,2,2022-04-28,105.79
12,2022-04-28,2,2022-05-11,106.11
13,2022-05-11,2,2022-05-23,101.81
14,2022-05-23,2,2022-06-01,104.82
15,2022-06-01,2,2022-06-13,106.88
16,2022-06-13,2,2022-06-22,106.38
17,2022-06-22,2,2022-07-01,105.2
18,2022-07-01,2,2022-07-12,108.08
19,2022-07-12,2,2022-07-22,119.18
20,2022-07-22,2,2022-08-04,114.22
21,2022-08-04,2,2022-08-16,112.94
22,2022-08-16,2,2022-08-25,114.87
23,2022-08-25,2,2022-09-05,108.38
24,2022-09-05,2,2022-09-14,103.05
25,2022-09-14,2,2022-09-23,105.79
26,2022-09-23,2,2022-10-04,98.61
27,2022-10-04,2,2022-10-17,86.31
28,2022-10-17,2,2022-10-27,84.65
29,2022-10-27,2,2022-11-07,87.73
30,2022-11-07,2,2022-11-16,85.54
31,2022-11-16,2,2022-11-25,96.7
32,2022-11-25,2,2022-12-07,98.04
33,2022-12-07,2,2022-12-19,94.08
34,2022-12-19,2,2022-12-28,96.0
