Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,143.64
1,2022-01-04,2,2022-01-13,117.88
2,2022-01-13,2,2022-01-24,103.5
3,2022-01-24,2,2022-02-02,81.11
4,2022-02-02,2,2022-02-11,123.4
5,2022-02-11,2,2022-02-23,93.08
6,2022-02-23,2,2022-03-04,103.71
7,2022-03-04,2,2022-03-15,110.61
8,2022-03-15,2,2022-03-24,105.4
9,2022-03-24,2,2022-04-04,86.97
10,2022-04-04,2,2022-04-19,126.23
11,2022-04-19,2,2022-04-28,113.75
12,2022-04-28,2,2022-05-11,110.77
13,2022-05-11,2,2022-05-23,109.53
14,2022-05-23,2,2022-06-01,96.2
15,2022-06-01,2,2022-06-13,111.02
16,2022-06-13,2,2022-06-22,66.47
17,2022-06-22,2,2022-07-01,123.79
18,2022-07-01,2,2022-07-12,117.47
19,2022-07-12,2,2022-07-22,125.13
20,2022-07-22,2,2022-08-04,130.89
21,2022-08-04,2,2022-08-16,104.46
22,2022-08-16,2,2022-08-25,102.54
23,2022-08-25,2,2022-09-05,114.6
24,2022-09-05,2,2022-09-14,120.0
25,2022-09-14,2,2022-09-23,101.2
26,2022-09-23,2,2022-10-04,90.73
27,2022-10-04,2,2022-10-17,59.65
28,2022-10-17,2,2022-10-27,122.13
29,2022-10-27,2,2022-11-07,92.73
30,2022-11-07,2,2022-11-16,86.05
31,2022-11-16,2,2022-11-25,60.68
32,2022-11-25,2,2022-12-07,114.91
33,2022-12-07,2,2022-12-19,159.72
34,2022-12-19,2,2022-12-28,125.19
