Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,128.04
1,2022-01-04,2,2022-01-13,128.64
2,2022-01-13,2,2022-01-24,113.73
3,2022-01-24,2,2022-02-02,96.73
4,2022-02-02,2,2022-02-11,106.98
5,2022-02-11,2,2022-02-23,101.67
6,2022-02-23,2,2022-03-04,107.37
7,2022-03-04,2,2022-03-15,112.58
8,2022-03-15,2,2022-03-24,105.56
9,2022-03-24,2,2022-04-04,93.09
10,2022-04-04,2,2022-04-19,107.09
11,2022-04-19,2,2022-04-28,110.9
12,2022-04-28,2,2022-05-11,109.66
13,2022-05-11,2,2022-05-23,106.71
14,2022-05-23,2,2022-06-01,112.1
15,2022-06-01,2,2022-06-13,94.57
16,2022-06-13,2,2022-06-22,98.42
17,2022-06-22,2,2022-07-01,104.85
18,2022-07-01,2,2022-07-12,122.2
19,2022-07-12,2,2022-07-22,122.56
20,2022-07-22,2,2022-08-04,117.32
21,2022-08-04,2,2022-08-16,115.88
22,2022-08-16,2,2022-08-25,102.24
23,2022-08-25,2,2022-09-05,100.36
24,2022-09-05,2,2022-09-14,100.6
25,2022-09-14,2,2022-09-23,98.55
26,2022-09-23,2,2022-10-04,97.86
27,2022-10-04,2,2022-10-17,80.58
28,2022-10-17,2,2022-10-27,84.29
29,2022-10-27,2,2022-11-07,98.45
30,2022-11-07,2,2022-11-16,90.26
31,2022-11-16,2,2022-11-25,94.69
32,2022-11-25,2,2022-12-07,89.2
33,2022-12-07,2,2022-12-19,81.72
34,2022-12-19,2,2022-12-28,105.18
