Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,119.83
1,2022-01-04,2,2022-01-13,118.94
2,2022-01-13,2,2022-01-24,119.71
3,2022-01-24,2,2022-02-02,118.28
4,2022-02-02,2,2022-02-11,114.71
5,2022-02-11,2,2022-02-23,109.03
6,2022-02-23,2,2022-03-04,106.0
7,2022-03-04,2,2022-03-15,102.97
8,2022-03-15,2,2022-03-24,102.99
9,2022-03-24,2,2022-04-04,102.44
10,2022-04-04,2,2022-04-19,105.31
11,2022-04-19,2,2022-04-28,103.58
12,2022-04-28,2,2022-05-11,108.4
13,2022-05-11,2,2022-05-23,101.41
14,2022-05-23,2,2022-06-01,104.04
15,2022-06-01,2,2022-06-13,112.22
16,2022-06-13,2,2022-06-22,106.63
17,2022-06-22,2,2022-07-01,104.68
18,2022-07-01,2,2022-07-12,103.7
19,2022-07-12,2,2022-07-22,114.49
20,2022-07-22,2,2022-08-04,112.33
21,2022-08-04,2,2022-08-16,114.7
22,2022-08-16,2,2022-08-25,113.79
23,2022-08-25,2,2022-09-05,105.75
24,2022-09-05,2,2022-09-14,105.77
25,2022-09-14,2,2022-09-23,104.43
26,2022-09-23,2,2022-10-04,101.03
27,2022-10-04,2,2022-10-17,89.15
28,2022-10-17,2,2022-10-27,84.85
29,2022-10-27,2,2022-11-07,86.87
30,2022-11-07,2,2022-11-16,89.08
31,2022-11-16,2,2022-11-25,98.62
32,2022-11-25,2,2022-12-07,95.95
33,2022-12-07,2,2022-12-19,97.73
34,2022-12-19,2,2022-12-28,96.74
