Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,112.45
1,2022-01-04,2,2022-01-13,125.23
2,2022-01-13,2,2022-01-24,118.75
3,2022-01-24,2,2022-02-02,107.05
4,2022-02-02,2,2022-02-11,101.72
5,2022-02-11,2,2022-02-23,104.42
6,2022-02-23,2,2022-03-04,98.78
7,2022-03-04,2,2022-03-15,103.28
8,2022-03-15,2,2022-03-24,101.0
9,2022-03-24,2,2022-04-04,105.53
10,2022-04-04,2,2022-04-19,109.38
11,2022-04-19,2,2022-04-28,100.96
12,2022-04-28,2,2022-05-11,114.62
13,2022-05-11,2,2022-05-23,104.87
14,2022-05-23,2,2022-06-01,108.05
15,2022-06-01,2,2022-06-13,111.89
16,2022-06-13,2,2022-06-22,104.37
17,2022-06-22,2,2022-07-01,102.5
18,2022-07-01,2,2022-07-12,108.55
19,2022-07-12,2,2022-07-22,112.9
20,2022-07-22,2,2022-08-04,108.98
21,2022-08-04,2,2022-08-16,103.32
22,2022-08-16,2,2022-08-25,109.3
23,2022-08-25,2,2022-09-05,102.99
24,2022-09-05,2,2022-09-14,96.06
25,2022-09-14,2,2022-09-23,97.85
26,2022-09-23,2,2022-10-04,90.9
27,2022-10-04,2,2022-10-17,86.84
28,2022-10-17,2,2022-10-27,86.95
29,2022-10-27,2,2022-11-07,98.72
30,2022-11-07,2,2022-11-16,95.37
31,2022-11-16,2,2022-11-25,96.6
32,2022-11-25,2,2022-12-07,94.44
33,2022-12-07,2,2022-12-19,90.88
34,2022-12-19,2,2022-12-28,98.44
