Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,120.22
1,2022-01-04,2,2022-01-13,119.85
2,2022-01-13,2,2022-01-24,119.51
3,2022-01-24,2,2022-02-02,119.45
4,2022-02-02,2,2022-02-11,109.44
5,2022-02-11,2,2022-02-23,103.3
6,2022-02-23,2,2022-03-04,102.39
7,2022-03-04,2,2022-03-15,104.25
8,2022-03-15,2,2022-03-24,102.29
9,2022-03-24,2,2022-04-04,102.0
10,2022-04-04,2,2022-04-19,105.78
11,2022-04-19,2,2022-04-28,103.75
12,2022-04-28,2,2022-05-11,108.01
13,2022-05-11,2,2022-05-23,103.8
14,2022-05-23,2,2022-06-01,105.65
15,2022-06-01,2,2022-06-13,111.79
16,2022-06-13,2,2022-06-22,103.92
17,2022-06-22,2,2022-07-01,106.02
18,2022-07-01,2,2022-07-12,104.76
19,2022-07-12,2,2022-07-22,117.74
20,2022-07-22,2,2022-08-04,114.62
21,2022-08-04,2,2022-08-16,116.53
22,2022-08-16,2,2022-08-25,106.09
23,2022-08-25,2,2022-09-05,103.27
24,2022-09-05,2,2022-09-14,104.05
25,2022-09-14,2,2022-09-23,103.26
26,2022-09-23,2,2022-10-04,95.96
27,2022-10-04,2,2022-10-17,83.55
28,2022-10-17,2,2022-10-27,84.47
29,2022-10-27,2,2022-11-07,86.06
30,2022-11-07,2,2022-11-16,88.44
31,2022-11-16,2,2022-11-25,99.66
32,2022-11-25,2,2022-12-07,96.45
33,2022-12-07,2,2022-12-19,98.53
34,2022-12-19,2,2022-12-28,97.66
