Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,117.63
1,2022-01-04,2,2022-01-13,126.82
2,2022-01-13,2,2022-01-24,123.63
3,2022-01-24,2,2022-02-02,118.71
4,2022-02-02,2,2022-02-11,111.69
5,2022-02-11,2,2022-02-23,106.09
6,2022-02-23,2,2022-03-04,101.28
7,2022-03-04,2,2022-03-15,102.15
8,2022-03-15,2,2022-03-24,103.89
9,2022-03-24,2,2022-04-04,101.59
10,2022-04-04,2,2022-04-19,103.13
11,2022-04-19,2,2022-04-28,105.51
12,2022-04-28,2,2022-05-11,105.89
13,2022-05-11,2,2022-05-23,104.93
14,2022-05-23,2,2022-06-01,104.54
15,2022-06-01,2,2022-06-13,105.44
16,2022-06-13,2,2022-06-22,107.27
17,2022-06-22,2,2022-07-01,107.01
18,2022-07-01,2,2022-07-12,106.63
19,2022-07-12,2,2022-07-22,116.41
20,2022-07-22,2,2022-08-04,114.05
21,2022-08-04,2,2022-08-16,112.0
22,2022-08-16,2,2022-08-25,112.49
23,2022-08-25,2,2022-09-05,107.44
24,2022-09-05,2,2022-09-14,99.88
25,2022-09-14,2,2022-09-23,103.2
26,2022-09-23,2,2022-10-04,87.94
27,2022-10-04,2,2022-10-17,84.85
28,2022-10-17,2,2022-10-27,87.7
29,2022-10-27,2,2022-11-07,85.54
30,2022-11-07,2,2022-11-16,84.79
31,2022-11-16,2,2022-11-25,97.03
32,2022-11-25,2,2022-12-07,98.0
33,2022-12-07,2,2022-12-19,94.31
34,2022-12-19,2,2022-12-28,95.83
