Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,41.12
1,2022-01-04,2,2022-01-13,-66.48
2,2022-01-13,2,2022-01-24,-53.04
3,2022-01-24,2,2022-02-02,-15.79
4,2022-02-02,2,2022-02-11,262.71
5,2022-02-11,2,2022-02-23,-141.3
6,2022-02-23,2,2022-03-04,-484.6
7,2022-03-04,2,2022-03-15,31.11
8,2022-03-15,2,2022-03-24,87.02
9,2022-03-24,2,2022-04-04,105.24
10,2022-04-04,2,2022-04-19,146.61
11,2022-04-19,2,2022-04-28,52.43
12,2022-04-28,2,2022-05-11,121.98
13,2022-05-11,2,2022-05-23,102.79
14,2022-05-23,2,2022-06-01,106.16
15,2022-06-01,2,2022-06-13,124.53
16,2022-06-13,2,2022-06-22,67.64
17,2022-06-22,2,2022-07-01,106.96
18,2022-07-01,2,2022-07-12,110.74
19,2022-07-12,2,2022-07-22,105.73
20,2022-07-22,2,2022-08-04,100.73
21,2022-08-04,2,2022-08-16,87.99
22,2022-08-16,2,2022-08-25,105.25
23,2022-08-25,2,2022-09-05,106.25
24,2022-09-05,2,2022-09-14,100.38
25,2022-09-14,2,2022-09-23,88.85
26,2022-09-23,2,2022-10-04,100.37
27,2022-10-04,2,2022-10-17,77.08
28,2022-10-17,2,2022-10-27,87.82
29,2022-10-27,2,2022-11-07,106.32
30,2022-11-07,2,2022-11-16,95.24
31,2022-11-16,2,2022-11-25,72.95
32,2022-11-25,2,2022-12-07,102.98
33,2022-12-07,2,2022-12-19,96.26
34,2022-12-19,2,2022-12-28,89.03
