Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,127.12
1,2022-01-04,2,2022-01-13,122.43
2,2022-01-13,2,2022-01-24,110.35
3,2022-01-24,2,2022-02-02,97.52
4,2022-02-02,2,2022-02-11,110.1
5,2022-02-11,2,2022-02-23,100.04
6,2022-02-23,2,2022-03-04,106.24
7,2022-03-04,2,2022-03-15,108.68
8,2022-03-15,2,2022-03-24,108.55
9,2022-03-24,2,2022-04-04,104.02
10,2022-04-04,2,2022-04-19,107.41
11,2022-04-19,2,2022-04-28,102.22
12,2022-04-28,2,2022-05-11,105.36
13,2022-05-11,2,2022-05-23,100.16
14,2022-05-23,2,2022-06-01,106.42
15,2022-06-01,2,2022-06-13,105.03
16,2022-06-13,2,2022-06-22,81.74
17,2022-06-22,2,2022-07-01,109.91
18,2022-07-01,2,2022-07-12,129.35
19,2022-07-12,2,2022-07-22,119.23
20,2022-07-22,2,2022-08-04,108.14
21,2022-08-04,2,2022-08-16,116.21
22,2022-08-16,2,2022-08-25,109.23
23,2022-08-25,2,2022-09-05,111.76
24,2022-09-05,2,2022-09-14,95.03
25,2022-09-14,2,2022-09-23,87.77
26,2022-09-23,2,2022-10-04,88.24
27,2022-10-04,2,2022-10-17,81.39
28,2022-10-17,2,2022-10-27,83.21
29,2022-10-27,2,2022-11-07,106.21
30,2022-11-07,2,2022-11-16,95.89
31,2022-11-16,2,2022-11-25,106.61
32,2022-11-25,2,2022-12-07,102.04
33,2022-12-07,2,2022-12-19,93.0
34,2022-12-19,2,2022-12-28,105.66
