Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,120.98
1,2022-01-04,2,2022-01-13,121.02
2,2022-01-13,2,2022-01-24,120.37
3,2022-01-24,2,2022-02-02,117.26
4,2022-02-02,2,2022-02-11,113.03
5,2022-02-11,2,2022-02-23,106.62
6,2022-02-23,2,2022-03-04,105.13
7,2022-03-04,2,2022-03-15,104.5
8,2022-03-15,2,2022-03-24,103.83
9,2022-03-24,2,2022-04-04,101.91
10,2022-04-04,2,2022-04-19,104.64
11,2022-04-19,2,2022-04-28,103.59
12,2022-04-28,2,2022-05-11,107.2
13,2022-05-11,2,2022-05-23,104.33
14,2022-05-23,2,2022-06-01,104.61
15,2022-06-01,2,2022-06-13,110.04
16,2022-06-13,2,2022-06-22,105.89
17,2022-06-22,2,2022-07-01,103.97
18,2022-07-01,2,2022-07-12,103.9
19,2022-07-12,2,2022-07-22,114.71
20,2022-07-22,2,2022-08-04,112.25
21,2022-08-04,2,2022-08-16,116.05
22,2022-08-16,2,2022-08-25,108.16
23,2022-08-25,2,2022-09-05,103.75
24,2022-09-05,2,2022-09-14,103.42
25,2022-09-14,2,2022-09-23,104.66
26,2022-09-23,2,2022-10-04,97.42
27,2022-10-04,2,2022-10-17,82.56
28,2022-10-17,2,2022-10-27,83.42
29,2022-10-27,2,2022-11-07,86.49
30,2022-11-07,2,2022-11-16,88.68
31,2022-11-16,2,2022-11-25,100.94
32,2022-11-25,2,2022-12-07,96.15
33,2022-12-07,2,2022-12-19,99.38
34,2022-12-19,2,2022-12-28,97.96
