Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,114.82
1,2022-01-04,2,2022-01-13,118.82
2,2022-01-13,2,2022-01-24,117.88
3,2022-01-24,2,2022-02-02,104.96
4,2022-02-02,2,2022-02-11,101.26
5,2022-02-11,2,2022-02-23,99.65
6,2022-02-23,2,2022-03-04,101.39
7,2022-03-04,2,2022-03-15,103.02
8,2022-03-15,2,2022-03-24,100.48
9,2022-03-24,2,2022-04-04,105.67
10,2022-04-04,2,2022-04-19,111.08
11,2022-04-19,2,2022-04-28,101.58
12,2022-04-28,2,2022-05-11,114.54
13,2022-05-11,2,2022-05-23,106.42
14,2022-05-23,2,2022-06-01,107.35
15,2022-06-01,2,2022-06-13,114.3
16,2022-06-13,2,2022-06-22,104.1
17,2022-06-22,2,2022-07-01,100.75
18,2022-07-01,2,2022-07-12,111.05
19,2022-07-12,2,2022-07-22,115.0
20,2022-07-22,2,2022-08-04,110.74
21,2022-08-04,2,2022-08-16,111.39
22,2022-08-16,2,2022-08-25,109.73
23,2022-08-25,2,2022-09-05,104.18
24,2022-09-05,2,2022-09-14,96.68
25,2022-09-14,2,2022-09-23,99.07
26,2022-09-23,2,2022-10-04,92.83
27,2022-10-04,2,2022-10-17,82.82
28,2022-10-17,2,2022-10-27,87.25
29,2022-10-27,2,2022-11-07,96.44
30,2022-11-07,2,2022-11-16,97.46
31,2022-11-16,2,2022-11-25,96.39
32,2022-11-25,2,2022-12-07,94.22
33,2022-12-07,2,2022-12-19,94.46
34,2022-12-19,2,2022-12-28,96.9
