Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,120.84
1,2022-01-04,2,2022-01-13,118.71
2,2022-01-13,2,2022-01-24,111.16
3,2022-01-24,2,2022-02-02,107.3
4,2022-02-02,2,2022-02-11,103.55
5,2022-02-11,2,2022-02-23,97.61
6,2022-02-23,2,2022-03-04,104.5
7,2022-03-04,2,2022-03-15,103.86
8,2022-03-15,2,2022-03-24,103.76
9,2022-03-24,2,2022-04-04,103.8
10,2022-04-04,2,2022-04-19,106.92
11,2022-04-19,2,2022-04-28,101.6
12,2022-04-28,2,2022-05-11,107.87
13,2022-05-11,2,2022-05-23,106.0
14,2022-05-23,2,2022-06-01,110.13
15,2022-06-01,2,2022-06-13,111.26
16,2022-06-13,2,2022-06-22,102.13
17,2022-06-22,2,2022-07-01,104.47
18,2022-07-01,2,2022-07-12,110.31
19,2022-07-12,2,2022-07-22,114.52
20,2022-07-22,2,2022-08-04,116.92
21,2022-08-04,2,2022-08-16,112.37
22,2022-08-16,2,2022-08-25,109.93
23,2022-08-25,2,2022-09-05,102.72
24,2022-09-05,2,2022-09-14,99.98
25,2022-09-14,2,2022-09-23,95.46
26,2022-09-23,2,2022-10-04,90.79
27,2022-10-04,2,2022-10-17,82.26
28,2022-10-17,2,2022-10-27,83.29
29,2022-10-27,2,2022-11-07,96.88
30,2022-11-07,2,2022-11-16,95.01
31,2022-11-16,2,2022-11-25,93.72
32,2022-11-25,2,2022-12-07,93.5
33,2022-12-07,2,2022-12-19,92.45
34,2022-12-19,2,2022-12-28,95.75
