Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,119.99
1,2022-01-04,2,2022-01-13,120.96
2,2022-01-13,2,2022-01-24,117.49
3,2022-01-24,2,2022-02-02,117.48
4,2022-02-02,2,2022-02-11,110.02
5,2022-02-11,2,2022-02-23,102.58
6,2022-02-23,2,2022-03-04,102.79
7,2022-03-04,2,2022-03-15,102.62
8,2022-03-15,2,2022-03-24,102.33
9,2022-03-24,2,2022-04-04,102.21
10,2022-04-04,2,2022-04-19,104.36
11,2022-04-19,2,2022-04-28,103.79
12,2022-04-28,2,2022-05-11,106.6
13,2022-05-11,2,2022-05-23,104.91
14,2022-05-23,2,2022-06-01,105.47
15,2022-06-01,2,2022-06-13,109.66
16,2022-06-13,2,2022-06-22,105.78
17,2022-06-22,2,2022-07-01,105.11
18,2022-07-01,2,2022-07-12,107.09
19,2022-07-12,2,2022-07-22,114.27
20,2022-07-22,2,2022-08-04,112.7
21,2022-08-04,2,2022-08-16,113.84
22,2022-08-16,2,2022-08-25,114.09
23,2022-08-25,2,2022-09-05,107.17
24,2022-09-05,2,2022-09-14,103.5
25,2022-09-14,2,2022-09-23,103.24
26,2022-09-23,2,2022-10-04,97.46
27,2022-10-04,2,2022-10-17,85.63
28,2022-10-17,2,2022-10-27,84.72
29,2022-10-27,2,2022-11-07,88.31
30,2022-11-07,2,2022-11-16,92.03
31,2022-11-16,2,2022-11-25,98.62
32,2022-11-25,2,2022-12-07,95.72
33,2022-12-07,2,2022-12-19,97.22
34,2022-12-19,2,2022-12-28,96.68
